Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19965;10;22;3
19949;14;30;7
19927;20;38;15
19904;20;51;25
19861;21;84;34
19793;17;143;47
19698;18;209;75
19547;19;321;113
19324;21;484;171
18949;21;776;254
18380;30;1198;392
17526;31;1830;613
16316;35;2680;969
14657;38;3846;1459
12502;42;5294;2162
10158;40;6726;3076
7784;38;7971;4207
5724;34;8699;5543
4070;27;9027;6876
2874;26;8842;8258
2073;25;8336;9566
1487;30;7698;10785
1122;28;7010;11840
908;29;6274;12789
735;28;5642;13595
641;25;5008;14326
579;23;4405;14993
538;27;3897;15538
526;27;3443;16004
512;30;3036;16422
513;32;2668;16787
532;31;2367;17070
568;25;2087;17320
593;25;1849;17533
619;30;1636;17715
645;33;1439;17883
685;32;1247;18036
750;34;1077;18139
786;33;941;18240
824;24;839;18313
870;20;722;18388
927;17;637;18419
962;14;570;18454
1011;11;502;18476
1059;7;446;18488
1121;4;396;18479
1180;3;336;18481
1245;4;311;18440
1303;7;290;18400
1358;6;262;18374
1416;5;237;18342
1461;7;194;18338
1520;3;184;18293
1573;1;158;18268
1634;1;140;18225
1689;2;120;18189
1753;1;109;18137
1829;2;95;18074
1875;3;97;18025
1940;1;91;17968
1995;2;83;17920
2055;2;80;17863
2103;2;76;17819
2158;1;72;17769
2204;1;63;17732
2257;3;56;17684
2317;3;52;17628
2363;3;51;17583
2424;2;44;17530
2482;2;38;17478
2542;1;30;17427
2598;0;22;17380
2663;1;19;17317
2715;1;15;17269
2760;1;14;17225
2810;1;10;17179
2861;1;10;17128
2901;1;9;17089
2970;1;9;17020
3017;1;10;16972
3070;1;9;16920
3120;0;8;16872
3174;0;7;16819
3222;0;6;16772
3268;0;5;16727
3310;0;3;16687
3367;0;4;16629
3418;0;3;16579
3471;0;3;16526
3520;0;3;16477
3572;0;4;16424
3601;0;6;16393
3652;0;7;16341
3703;0;8;16289
3751;0;10;16239
3798;0;11;16191
3844;0;11;16145
3903;0;10;16087
3936;0;8;16056
3979;0;7;16014
4026;0;6;15968
4070;0;5;15925
4126;0;7;15867
4175;0;6;15819
4224;0;6;15770
4262;0;7;15731
4302;0;7;15691
4346;0;8;15646
4389;0;8;15603
4437;0;12;15551
4476;0;12;15512
4521;0;12;15467
4546;0;12;15442
4572;0;12;15416
4618;0;14;15368
4652;0;15;15333
4689;0;14;15297
4731;0;13;15256
4769;0;11;15220
4813;0;12;15175
4850;0;15;15135
4892;0;14;15094
4930;0;12;15058
4985;0;12;15003
5030;0;13;14957
5067;0;18;14915
5109;0;16;14875
5148;0;14;14838
5192;0;10;14798
5224;0;13;14763
5262;0;12;14726
5304;0;9;14687
5331;0;9;14660
5370;0;8;14622
5407;0;7;14586
5446;0;7;14547
5487;0;6;14507
5529;0;10;14461
5567;0;10;14423
5616;0;9;14375
5643;0;12;14345
5676;0;13;14311
5725;0;12;14263
5749;0;13;14238
5801;0;11;14188
5835;0;11;14154
5882;0;12;14106
5922;0;11;14067
5959;0;10;14031
5986;0;13;14001
6017;0;16;13967
6059;0;17;13924
6095;0;20;13885
6130;0;22;13848
6157;0;29;13814
6179;0;33;13788
6202;1;34;13763
6230;1;38;13731
6254;1;40;13705
6293;1;39;13667
6320;2;41;13637
6357;2;44;13597
6393;1;46;13560
6418;0;52;13530
6437;0;55;13508
6457;0;58;13485
6491;0;57;13452
6519;0;62;13419
6545;0;63;13392
6566;0;63;13371
6594;0;63;13343
6628;0;75;13297
6660;0;71;13269
6683;1;79;13237
6715;1;88;13196
6728;0;98;13174
6737;0;111;13152
6739;0;129;13132
6750;0;134;13116
6740;0;155;13105
6730;0;172;13098
6710;0;189;13101
6699;0;201;13100
6690;0;226;13084
6666;0;253;13081
6641;0;278;13081
6608;0;300;13092
6574;0;309;13117
6531;0;344;13125
6482;1;383;13134
6437;1;397;13165
6378;2;436;13184
6296;3;482;13219
6204;2;544;13250
6105;3;607;13285
6013;4;641;13342
5923;6;657;13414
5806;6;713;13475
5694;10;763;13533
5573;8;806;13613
5425;8;863;13704
5286;9;901;13804
5124;12;968;13896
4992;9;978;14021
4864;10;976;14150
4741;10;1024;14225
4632;8;1034;14326
4511;10;1032;14447
4410;11;1043;14536
4326;17;1007;14650
4221;12;1008;14759
4120;11;994;14875
4015;9;990;14986
3941;14;973;15072
3874;14;976;15136
3777;20;991;15212
3710;16;980;15294
3658;15;938;15389
3596;14;919;15471
3536;13;881;15570
3472;13;868;15647
3448;12;835;15705
3419;10;816;15755
3397;12;792;15799
3377;12;745;15866
3321;11;745;15923
3298;12;715;15975
3308;14;693;15985
3287;14;675;16024
3284;15;661;16040
3264;19;641;16076
3240;19;656;16085
3227;15;638;16120
3226;14;603;16157
3221;14;576;16189
3220;13;563;16204
3259;10;539;16192
3277;11;517;16195
3304;11;483;16202
3319;11;479;16191
3329;12;478;16181
3348;13;473;16166
3349;15;466;16170
3371;12;450;16167
3387;7;446;16160
3428;7;422;16143
3490;7;413;16090
3518;13;404;16065
3555;9;403;16033
3563;8;398;16031
3593;8;393;16006
3614;7;374;16005
3644;8;372;15976
3671;6;371;15952
3714;6;356;15924
3729;4;353;15914
3756;4;343;15897
3793;5;325;15877
3824;7;333;15836
3854;5;331;15810
3889;2;335;15774
3909;5;327;15759
3931;5;339;15725
3960;5;351;15684
4005;3;346;15646
4024;4;341;15631
4051;3;343;15603
4072;5;358;15565
4091;7;373;15529
4097;13;375;15515
4108;13;377;15502
4114;12;365;15509
4165;12;358;15465
4193;7;370;15430
4216;5;378;15401
