Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19969;6;19;6
19954;11;23;12
19940;9;35;16
19908;9;58;25
19855;17;95;33
19770;21;155;54
19640;15;257;88
19438;22;408;132
19110;33;653;204
18611;38;1013;338
17885;39;1548;528
16775;48;2381;796
15265;50;3443;1242
13260;49;4847;1844
10972;54;6233;2741
8553;51;7575;3821
6310;41;8550;5099
4514;43;9005;6438
3243;40;8874;7843
2311;34;8477;9178
1694;23;7909;10374
1292;24;7216;11468
1018;26;6412;12544
841;25;5742;13392
720;21;5118;14141
635;24;4520;14821
610;27;3948;15415
581;22;3509;15888
567;22;3059;16352
572;23;2746;16659
576;23;2441;16960
575;22;2138;17265
591;22;1914;17473
623;20;1704;17653
650;16;1528;17806
682;16;1344;17958
720;16;1192;18072
765;23;1023;18189
795;25;899;18281
842;20;805;18333
892;21;723;18364
932;18;654;18396
989;17;577;18417
1035;13;511;18441
1075;14;461;18450
1135;11;406;18448
1194;12;360;18434
1245;9;327;18419
1295;6;303;18396
1342;3;275;18380
1380;1;242;18377
1433;4;216;18347
1492;3;197;18308
1544;5;170;18281
1594;4;152;18250
1642;2;147;18209
1689;2;130;18179
1739;1;124;18136
1793;0;120;18087
1839;1;109;18051
1894;2;102;18002
1942;1;99;17958
1997;1;90;17912
2039;2;81;17878
2096;2;76;17826
2142;2;73;17783
2191;1;66;17742
2252;0;55;17693
2317;0;45;17638
2364;0;38;17598
2417;0;37;17546
2468;0;35;17497
2527;0;33;17440
2579;0;31;17390
2638;0;25;17337
2679;1;26;17294
2742;1;30;17227
2783;1;30;17186
2834;0;31;17135
2879;0;31;17090
2933;0;27;17040
2978;0;27;16995
3027;0;26;16947
3082;0;28;16890
3130;0;28;16842
3173;0;27;16800
3234;1;27;16738
3279;1;24;16696
3321;1;25;16653
3357;1;24;16618
3398;2;24;16576
3442;2;21;16535
3501;2;22;16475
3548;2;23;16427
3584;1;27;16388
3632;1;26;16341
3678;0;30;16292
3711;0;28;16261
3751;0;26;16223
3804;0;23;16173
3858;0;17;16125
3902;0;15;16083
3958;0;21;16021
4008;0;27;15965
4050;0;27;15923
4091;0;25;15884
4124;0;27;15849
4164;0;28;15808
4211;0;29;15760
4255;0;25;15720
4303;0;20;15677
4354;0;20;15626
4398;0;20;15582
4438;0;22;15540
4481;0;21;15498
4517;0;21;15462
4573;0;22;15405
4626;0;21;15353
4668;0;18;15314
4701;0;18;15281
4753;0;15;15232
4791;0;13;15196
4829;0;12;15159
4873;0;10;15117
4918;0;10;15072
4966;0;9;15025
5003;0;11;14986
5054;0;8;14938
5091;0;11;14898
5134;0;11;14855
5177;0;11;14812
5213;0;14;14773
5264;0;16;14720
5308;0;19;14673
5352;0;22;14626
5378;0;26;14596
5416;0;33;14551
5462;0;28;14510
5489;0;28;14483
5524;0;29;14447
5556;0;30;14414
5604;0;28;14368
5635;0;31;14334
5666;0;40;14294
5699;0;46;14255
5727;1;40;14232
5755;2;40;14203
5797;1;44;14158
5834;1;42;14123
5862;1;49;14088
5873;1;58;14068
5890;2;69;14039
5926;1;70;14003
5948;1;69;13982
5972;2;80;13946
5999;2;79;13920
6016;2;88;13894
6033;2;101;13864
6051;2;113;13834
6069;2;113;13816
6072;1;130;13797
6082;1;131;13786
6096;1;134;13769
6109;2;147;13742
6116;3;157;13724
6114;2;171;13713
6118;2;193;13687
6105;3;207;13685
6095;4;221;13680
6085;3;256;13656
6070;4;278;13648
6048;5;299;13648
6017;6;318;13659
5983;6;329;13682
5951;5;349;13695
5900;6;377;13717
5837;6;404;13753
5793;3;415;13789
5745;4;437;13814
5698;4;460;13838
5639;5;493;13863
5596;4;512;13888
5508;5;558;13929
5439;8;579;13974
5385;10;601;14004
5325;8;623;14044
5259;9;648;14084
5133;11;704;14152
5047;12;728;14213
4956;11;766;14267
4865;7;795;14333
4738;6;846;14410
4611;7;857;14525
4505;7;885;14603
4380;5;915;14700
4281;9;928;14782
4177;8;939;14876
4063;7;945;14985
3960;5;973;15062
3866;10;968;15156
3796;12;949;15243
3728;13;932;15327
3682;12;898;15408
