Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19960;6;27;7
19930;15;43;12
19900;15;69;16
19841;21;112;26
19747;30;181;42
19598;37;296;69
19384;47;435;134
19080;46;651;223
18594;50;1010;346
17840;64;1566;530
16752;68;2376;804
15224;71;3440;1265
13362;68;4687;1883
11022;56;6218;2704
8581;54;7526;3839
6341;39;8531;5089
4601;32;8858;6509
3291;34;8786;7889
2411;30;8369;9190
1762;36;7815;10387
1343;30;7184;11443
1036;33;6569;12362
847;30;5879;13244
741;33;5198;14028
670;27;4597;14706
634;23;4036;15307
588;34;3568;15810
598;28;3092;16282
580;25;2734;16661
592;22;2429;16957
599;20;2128;17253
605;22;1886;17487
630;16;1657;17697
670;14;1476;17840
704;15;1307;17974
733;10;1165;18092
772;17;996;18215
815;17;886;18282
860;12;797;18331
920;10;710;18360
962;13;628;18397
1010;12;550;18428
1055;11;485;18449
1104;10;447;18439
1165;8;391;18436
1216;7;343;18434
1278;5;299;18418
1326;6;253;18415
1390;5;230;18375
1446;2;217;18335
1502;2;196;18300
1577;3;170;18250
1631;3;162;18204
1680;3;147;18170
1745;3;127;18125
1813;3;111;18073
1869;2;99;18030
1919;1;97;17983
1975;2;89;17934
2014;2;87;17897
2047;2;83;17868
2089;1;80;17830
2143;1;77;17779
2192;0;72;17736
2254;0;68;17678
2293;0;61;17646
2357;1;55;17587
2399;1;49;17551
2462;1;42;17495
2511;0;40;17449
2549;1;39;17411
2596;1;28;17375
2652;0;34;17314
2700;0;30;17270
2746;0;28;17226
2785;1;29;17185
2829;1;28;17142
2880;0;25;17095
2931;0;22;17047
2973;1;24;17002
3016;2;21;16961
3081;2;19;16898
3123;2;19;16856
3165;2;20;16813
3203;1;22;16774
3250;1;22;16727
3291;1;20;16688
3338;1;18;16643
3394;1;19;16586
3447;1;18;16534
3496;1;20;16483
3546;1;18;16435
3598;1;16;16385
3635;2;17;16346
3676;2;18;16304
3721;1;15;16263
3776;1;14;16209
3822;0;11;16167
3868;0;9;16123
3911;0;9;16080
3953;0;8;16039
3987;0;8;16005
4041;0;10;15949
4079;0;9;15912
4123;0;11;15866
4180;0;12;15808
4220;0;10;15770
4260;0;10;15730
4307;0;12;15681
4353;0;14;15633
4392;0;13;15595
4434;0;13;15553
4478;0;12;15510
4508;0;10;15482
4547;0;9;15444
4594;0;11;15395
4630;0;12;15358
4672;0;10;15318
4713;0;12;15275
4751;0;9;15240
4783;0;9;15208
4819;0;9;15172
4864;0;10;15126
4898;0;10;15092
4936;0;8;15056
4977;0;8;15015
5010;0;8;14982
5045;0;9;14946
5089;0;7;14904
5134;0;8;14858
5171;0;10;14819
5211;0;9;14780
5245;0;8;14747
5285;0;8;14707
5332;0;8;14660
5377;0;11;14612
5409;0;12;14579
5438;0;12;14550
5482;1;12;14505
5524;0;12;14464
5567;0;10;14423
5604;0;10;14386
5639;0;12;14349
5685;0;13;14302
5721;0;13;14266
5766;0;13;14221
5794;0;14;14192
5824;0;16;14160
5849;0;18;14133
5891;0;15;14094
5929;0;17;14054
