Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19962;10;23;5
19949;10;34;7
19919;15;51;15
19882;17;78;23
19825;18;121;36
19742;27;178;53
19614;29;274;83
19397;30;441;132
19074;32;693;201
18568;31;1076;325
17837;41;1615;507
16762;38;2384;816
15315;44;3379;1262
13400;40;4644;1916
11191;44;5977;2788
8919;44;7241;3796
6718;41;8201;5040
4921;35;8645;6399
3559;34;8647;7760
2636;28;8287;9049
1973;30;7734;10263
1466;27;7155;11352
1150;27;6481;12342
970;27;5776;13227
790;33;5187;13990
696;36;4637;14631
620;29;4140;15211
581;34;3650;15735
570;30;3214;16186
581;31;2791;16597
594;27;2444;16935
612;35;2122;17231
633;39;1875;17453
645;34;1665;17656
666;32;1463;17839
700;21;1300;17979
736;23;1155;18086
769;20;1042;18169
808;16;911;18265
855;13;819;18313
899;10;727;18364
921;12;635;18432
958;10;569;18463
1010;8;503;18479
1043;10;447;18500
1105;9;389;18497
1155;8;361;18476
1229;7;318;18446
1288;8;285;18419
1350;9;245;18396
1411;9;228;18352
1463;5;216;18316
1515;4;197;18284
1559;3;185;18253
1624;4;165;18207
1693;4;145;18158
1747;5;132;18116
1787;3;123;18087
1839;4;108;18049
1899;4;99;17998
1951;4;85;17960
1996;4;76;17924
2055;4;72;17869
2108;5;68;17819
2178;2;62;17758
2227;3;59;17711
2264;2;52;17682
2313;2;51;17634
2366;1;44;17589
2415;0;39;17546
2460;0;33;17507
2509;0;34;17457
2554;0;33;17413
2606;0;30;17364
2668;1;28;17303
2709;1;27;17263
2756;1;20;17223
2815;0;23;17162
2884;0;20;17096
2934;0;19;17047
2983;0;19;16998
3026;0;18;16956
3093;0;17;16890
3144;0;12;16844
3198;0;11;16791
3254;0;10;16736
3314;0;7;16679
3359;0;6;16635
3410;0;6;16584
3475;0;6;16519
3516;0;6;16478
3569;0;6;16425
3611;0;7;16382
3660;0;6;16334
3715;0;7;16278
3766;0;6;16228
3813;0;8;16179
3868;0;8;16124
3913;0;7;16080
3960;0;7;16033
3996;0;4;16000
4031;0;4;15965
4077;0;3;15920
4130;0;3;15867
4183;0;3;15814
4230;0;3;15767
4273;0;2;15725
4313;0;2;15685
4362;0;4;15634
4397;0;4;15599
4441;0;3;15556
4484;0;2;15514
4517;0;3;15480
4557;0;4;15439
4604;0;6;15390
4639;0;4;15357
4676;0;3;15321
4730;0;2;15268
4767;0;2;15231
4809;0;3;15188
4854;0;3;15143
4897;0;4;15099
4938;0;4;15058
4972;0;6;15022
5007;0;6;14987
5035;0;9;14956
5079;0;9;14912
5121;0;10;14869
5155;0;7;14838
5203;0;6;14791
5251;0;7;14742
5288;0;6;14706
5332;0;5;14663
5367;0;7;14626
5410;0;6;14584
5457;0;7;14536
5496;0;6;14498
5527;0;7;14466
5565;0;4;14431
5616;0;5;14379
5652;0;7;14341
5692;0;6;14302
5742;0;7;14251
5770;0;8;14222
5807;0;9;14184
5843;0;8;14149
5874;0;8;14118
5898;0;7;14095
5940;0;5;14055
5985;0;4;14011
6019;0;5;13976
6066;0;6;13928
6115;0;8;13877
6145;0;11;13844
6182;0;14;13804
6234;0;16;13750
6267;0;22;13711
6293;0;24;13683
6316;0;28;13656
6342;0;28;13630
6364;0;36;13600
6384;0;42;13574
6405;1;44;13550
6415;1;46;13538
6443;1;53;13503
6472;1;61;13466
6493;2;63;13442
6515;2;76;13407
6526;1;93;13380
6536;1;105;13358
6537;1;127;13335
6543;0;129;13328
6534;1;153;13312
6539;1;162;13298
6534;1;180;13285
6522;1;201;13276
6516;1;209;13274
6491;1;239;13269
6478;0;259;13263
6444;1;272;13283
6413;0;293;13294
6386;1;322;13291
6351;2;345;13302
6306;2;373;13319
6266;3;388;13343
6212;2;430;13356
6143;5;467;13385
6066;4;506;13424
5970;4;552;13474
5898;4;584;13514
5809;2;627;13562
5706;3;666;13625
5620;4;674;13702
5516;2;727;13755
5402;5;781;13812
5293;8;804;13895
5160;9;839;13992
5058;9;871;14062
4956;11;878;14155
4837;15;893;14255
4690;12;948;14350
4573;8;974;14445
4469;10;976;14545
4384;7;980;14629
4285;6;993;14716
4185;6;971;14838
4081;7;984;14928
3994;7;988;15011
3893;11;960;15136
3779;12;992;15217
3698;14;974;15314
3604;17;971;15408
3529;16;960;15495
3464;14;925;15597
3391;13;911;15685
3367;12;856;15765
3334;18;832;15816
3323;21;809;15847
3296;23;779;15902
3287;21;753;15939
3274;20;722;15984
3255;21;714;16010
3246;19;696;16039
3243;12;653;16092
3243;14;646;16097
3230;11;627;16132
3225;12;609;16154
3237;11;578;16174
3238;9;556;16197
3231;9;519;16241
3242;10;515;16233
3255;9;508;16228
3289;7;496;16208
3298;9;469;16224
3328;10;444;16218
3349;12;440;16199
3385;12;420;16183
3422;10;399;16169
3436;10;396;16158
3460;12;392;16136
3483;10;377;16130
3495;11;372;16122
3527;10;361;16102
3549;7;373;16071
3566;6;369;16059
3620;5;347;16028
3661;6;331;16002
3707;5;328;15960
3725;6;332;15937
3734;7;337;15922
3753;7;334;15906
3786;5;338;15871
3840;3;339;15818
3860;5;333;15802
3885;4;338;15773
3910;7;336;15747
3923;7;348;15722
3941;5;359;15695
3977;6;356;15661
4021;3;342;15634
4025;3;370;15602
4050;7;380;15563
4070;11;371;15548
4105;10;369;15516
4147;10;358;15485
4161;7;370;15462
4195;6;373;15426
4207;11;382;15400
4243;9;374;15374
4256;9;375;15360
4287;6;360;15347
4323;5;363;15309
4376;5;346;15273
4412;3;353;15232
4445;2;351;15202
4465;2;352;15181
4484;1;348;15167
4496;3;362;15139
4506;7;389;15098
4523;6;401;15070
4541;9;412;15038
4546;12;425;15017
4569;11;425;14995
4575;12;431;14982
4576;12;451;14961
4565;10;484;14941
4550;17;484;14949
4550;19;496;14935
4545;17;508;14930
4548;14;521;14917
4532;11;521;14936
4523;17;503;14957
4506;11;512;14971
4511;13;523;14953
4518;13;523;14946
4522;10;528;14940
4543;10;528;14919
4528;10;549;14913
4508;11;563;14918
4473;13;588;14926
4459;13;588;14940
4451;15;589;14945
4453;17;593;14937
4440;12;599;14949
4414;13;624;14949
4387;10;630;14973
4377;12;660;14951
4338;12;693;14957
4311;14;706;14969
4283;14;726;14977
4249;14;744;14993
4234;18;753;14995
4187;16;751;15046
4166;14;767;15053
4100;15;793;15092
4058;13;778;15151
4023;10;797;15170
3960;12;811;15217
3932;15;814;15239
3908;14;790;15288
3893;12;782;15313
3873;17;774;15336
3847;15;787;15351
3841;17;774;15368
3816;13;776;15395
3799;13;777;15411
3800;14;744;15442
3780;16;748;15456
3780;16;739;15465
3775;20;732;15473
3773;19;703;15505
3798;13;684;15505
3786;18;658;15538
3775;15;666;15544
3781;14;667;15538
3767;13;676;15544
3765;11;669;15555
3778;11;646;15565
3769;11;671;15549
3786;12;663;15539
3784;13;629;15574
3810;12;616;15562
3838;9;596;15557
3832;16;601;15551
3836;16;580;15568
3855;15;582;15548
3859;12;589;15540
3881;9;584;15526
3883;7;595;15515
3888;10;588;15514
3914;12;588;15486
3937;14;577;15472
3945;14;575;15466
3949;13;583;15455
3972;13;574;15441
3992;11;544;15453
4018;8;560;15414
