Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19964;10;19;7
19942;11;36;11
19915;14;52;19
19870;16;92;22
19801;21;137;41
19717;25;198;60
19553;23;332;92
19291;30;510;169
18934;28;765;273
18376;36;1191;397
17548;36;1794;622
16339;45;2638;978
14695;44;3797;1464
12622;36;5168;2174
10305;36;6603;3056
7969;35;7856;4140
5872;29;8686;5413
4141;26;9092;6741
2895;26;8948;8131
2086;28;8417;9469
1505;29;7787;10679
1141;32;7018;11809
911;26;6347;12716
735;26;5657;13582
643;24;4990;14343
560;28;4404;15008
529;25;3861;15585
521;26;3371;16082
541;19;2982;16458
560;19;2608;16813
581;19;2327;17073
585;29;2061;17325
618;31;1814;17537
635;34;1613;17718
661;31;1434;17874
688;21;1281;18010
730;21;1124;18125
768;17;993;18222
801;18;880;18301
825;10;773;18392
870;16;692;18422
906;20;621;18453
963;15;564;18458
992;17;510;18481
1037;12;464;18487
1088;11;404;18497
1143;10;358;18489
1182;11;325;18482
1222;6;291;18481
1283;3;263;18451
1343;5;226;18426
1397;8;214;18381
1448;4;191;18357
1508;5;172;18315
1572;4;156;18268
1635;2;150;18213
1672;1;144;18183
1720;1;124;18155
1778;1;118;18103
1835;2;103;18060
1892;3;92;18013
1951;2;80;17967
2003;1;71;17925
2064;1;66;17869
2121;1;65;17813
2173;1;61;17765
2218;0;63;17719
2271;0;56;17673
2319;1;48;17632
2373;1;43;17583
2427;1;39;17533
2469;1;35;17495
2495;0;37;17468
2547;0;35;17418
2611;0;30;17359
2662;0;33;17305
2717;0;32;17251
2776;1;28;17195
2821;1;24;17154
2861;1;22;17116
2912;1;22;17065
2948;0;17;17035
3004;0;18;16978
3040;0;23;16937
3103;0;25;16872
3160;0;20;16820
3202;0;18;16780
3245;1;16;16738
3299;1;16;16684
3342;0;19;16639
3382;0;15;16603
3441;0;19;16540
3484;0;21;16495
3541;0;18;16441
3593;0;19;16388
3634;0;20;16346
3684;0;23;16293
3718;0;23;16259
3757;0;24;16219
3800;0;17;16183
3847;0;19;16134
3889;0;22;16089
3924;0;23;16053
3963;0;24;16013
4004;0;25;15971
4052;0;27;15921
4085;1;28;15886
4129;0;28;15843
4167;1;28;15804
4207;1;28;15764
4243;1;21;15735
4288;1;22;15689
4326;1;18;15655
4370;0;18;15612
4411;0;17;15572
4444;0;17;15539
4494;0;16;15490
4536;0;17;15447
4576;0;20;15404
4618;0;18;15364
4657;1;23;15319
4696;1;25;15278
4735;0;27;15238
4781;0;25;15194
4816;0;23;15161
4854;0;26;15120
4894;0;29;15077
4928;0;23;15049
4968;0;27;15005
5012;0;33;14955
5042;0;41;14917
5061;1;53;14885
5090;1;57;14852
5125;2;53;14820
5157;1;54;14788
5197;0;54;14749
5226;0;53;14721
5277;0;55;14668
5315;0;50;14635
5364;0;54;14582
5393;0;52;14555
5435;0;58;14507
5467;0;70;14463
5489;0;63;14448
5515;0;68;14417
5551;0;74;14375
5585;0;77;14338
5611;0;91;14298
5623;0;90;14287
5656;0;85;14259
5674;0;98;14228
5686;0;99;14215
5707;0;96;14197
5721;0;105;14174
5744;0;111;14145
5771;0;123;14106
5786;0;133;14081
5803;0;144;14053
5808;0;145;14047
5821;0;152;14027
5836;0;158;14006
5851;1;161;13987
5871;0;167;13962
5871;0;178;13951
5873;1;181;13945
5868;1;186;13945
5870;2;199;13929
5878;2;215;13905
5881;2;215;13902
5861;4;237;13898
5858;3;239;13900
5836;1;262;13901
5802;0;287;13911
5771;1;311;13917
5747;2;336;13915
5722;2;353;13923
5666;1;391;13942
5643;0;411;13946
5588;3;438;13971
5544;3;457;13996
5484;3;488;14025
5413;4;527;14056
5348;2;584;14066
5278;5;614;14103
5192;9;641;14158
5121;10;652;14217
5037;8;681;14274
4949;4;722;14325
4843;10;749;14398
4755;6;781;14458
4663;10;790;14537
4569;9;819;14603
4494;11;809;14686
4403;8;824;14765
4333;11;808;14848
4268;10;821;14901
4187;11;833;14969
4113;10;829;15048
4036;16;818;15130
3933;18;858;15191
3876;16;857;15251
3830;15;861;15294
3759;18;840;15383
3719;16;813;15452
3655;12;827;15506
3597;10;839;15554
3538;12;847;15603
3488;12;826;15674
3448;8;809;15735
3419;11;789;15781
3372;13;804;15811
3348;14;780;15858
3323;13;749;15915
3294;12;729;15965
3263;8;706;16023
3230;9;696;16065
3208;12;672;16108
3216;14;636;16134
3198;11;663;16128
3192;10;635;16163
3178;9;642;16171
3176;11;599;16214
3178;14;568;16240
3196;11;548;16245
3205;12;535;16248
3224;15;512;16249
3235;14;518;16233
3225;8;517;16250
3246;3;511;16240
3255;8;501;16236
3281;9;479;16231
3327;11;456;16206
3362;10;433;16195
3387;8;421;16184
3437;7;397;16159
3455;3;389;16153
3502;4;375;16119
3533;3;371;16093
3571;6;364;16059
3611;5;360;16024
3634;7;344;16015
3678;6;338;15978
3717;8;339;15936
3760;6;310;15924
3811;8;311;15870
3835;9;313;15843
3872;13;311;15804
3917;11;298;15774
3966;9;294;15731
3998;9;300;15693
4041;8;302;15649
4063;7;308;15622
4090;7;317;15586
4126;3;322;15549
4168;4;322;15506
4218;5;327;15450
4247;4;329;15420
4286;7;323;15384
4310;9;328;15353
4327;8;318;15347
4371;9;303;15317
4407;7;313;15273
4417;4;327;15252
4428;7;321;15244
4439;7;325;15229
4456;5;331;15208
4479;5;333;15183
4514;5;345;15136
4556;5;339;15100
4572;6;349;15073
4571;7;357;15065
4599;7;354;15040
4618;9;355;15018
4622;8;382;14988
4639;8;404;14949
4635;7;412;14946
4647;9;400;14944
4661;9;407;14923
4659;6;447;14888
4657;9;429;14905
4664;7;422;14907
4669;7;437;14887
4689;10;426;14875
4685;14;433;14868
4688;8;443;14861
4695;13;446;14846
4690;14;456;14840
4698;14;469;14819
4724;17;459;14800
4734;14;463;14789
4745;13;473;14769
4758;12;495;14735
4744;13;519;14724
4723;13;544;14720
4699;16;566;14719
4677;14;568;14741
4662;16;582;14740
4639;15;588;14758
4601;13;625;14761
4572;14;628;14786
4539;18;634;14809
4550;14;627;14809
4529;15;655;14801
4490;12;650;14848
4499;11;649;14841
4468;11;657;14864
4449;12;660;14879
4439;9;653;14899
4398;12;650;14940
4384;9;666;14941
4348;8;678;14966
4327;10;685;14978
4303;8;711;14978
4255;13;718;15014
4214;20;716;15050
4215;19;708;15058
4192;19;733;15056
4176;19;755;15050
4123;22;780;15075
4089;21;769;15121
4026;21;802;15151
4006;16;810;15168
3955;18;819;15208
3922;14;840;15224
3904;17;822;15257
3895;17;798;15290
3864;17;775;15344
3859;21;784;15336
3854;22;774;15350
3831;21;773;15375
3812;26;750;15412
3797;25;736;15442
3794;25;733;15448
3801;21;738;15440
3794;16;705;15485
3792;21;682;15505
3776;21;685;15518
3773;19;712;15496
3778;17;705;15500
3792;15;683;15510
3783;13;684;15520
3776;12;674;15538
3775;13;679;15533
3775;18;691;15516
3794;21;691;15494
3821;19;666;15494
3815;19;668;15498
3823;14;673;15490
3838;20;649;15493
3846;18;646;15490
3855;15;630;15500
3857;25;611;15507
3892;18;579;15511
3895;20;563;15522
3927;22;554;15497
3960;19;571;15450
3969;14;569;15448
3979;18;545;15458
3992;19;542;15447
3999;17;560;15424
4015;19;551;15415
4052;16;543;15389
4063;16;550;15371
4080;13;554;15353
4082;12;554;15352
4112;10;550;15328
4105;14;557;15324
4116;15;554;15315
4126;10;564;15300
4109;15;594;15282
4129;13;571;15287
4141;17;564;15278
4161;13;574;15252
4163;14;581;15242
4171;13;581;15235
4174;15;581;15230
4207;13;587;15193
4214;8;578;15200
4221;6;562;15211
4216;7;568;15209
4219;11;574;15196
4218;12;566;15204
4233;16;568;15183
4233;18;573;15176
4232;16;577;15175
4232;12;591;15165
4223;11;594;15172
4183;14;615;15188
4196;14;598;15192
4191;18;616;15175
4179;15;609;15197
4186;15;591;15208
4180;16;618;15186
4195;14;613;15178
4200;9;612;15179
4205;12;592;15191
4209;16;599;15176
4180;15;607;15198
4184;13;611;15192
4185;10;616;15189
4176;12;627;15185
4173;10;626;15191
4165;12;628;15195
4141;12;660;15187
4118;12;651;15219
4108;15;624;15253
4108;16;607;15269
4105;17;617;15261
4107;19;629;15245
4092;13;634;15261
4079;15;641;15265
4069;15;647;15269
4039;14;652;15295
4022;15;638;15325
4016;19;634;15331
4017;17;634;15332
3992;19;623;15366
3977;21;622;15380
3966;16;643;15375
3986;13;616;15385
3985;16;603;15396
3982;16;601;15401
3992;11;614;15383
3971;11;622;15396
3961;12;625;15402
3948;13;626;15413
3953;11;624;15412
3949;12;624;15415
3943;10;643;15404
3948;14;632;15406
3977;15;613;15395
3965;13;607;15415
3926;12;632;15430
3931;11;632;15426
3929;15;627;15429
3903;20;652;15425
3881;17;670;15432
3894;14;647;15445
3885;13;655;15447
3877;13;652;15458
3870;15;642;15473
3877;20;623;15480
3870;16;627;15487
3903;14;593;15490
3933;15;577;15475
3937;9;598;15456
3959;12;606;15423
3958;13;598;15431
3958;15;584;15443
3975;18;573;15434
3994;17;583;15406
3983;21;566;15430
3979;26;574;15421
3972;21;598;15409
3964;19;610;15407
3984;24;591;15401
3993;21;601;15385
4016;20;586;15378
4038;17;589;15356
4042;20;595;15343
4044;18;586;15352
4061;14;563;15362
4058;11;558;15373
4075;13;544;15368
4106;7;534;15353
4130;6;514;15350
4131;12;525;15332
4146;11;533;15310
4168;14;533;15285
4151;13;567;15269
4161;13;550;15276
4159;11;567;15263
4178;12;535;15275
4205;11;539;15245
4210;8;548;15234
4203;8;557;15232
4187;9;558;15246
4181;8;562;15249
4184;10;563;15243
4185;13;562;15240
4219;11;547;15223
4209;13;554;15224
4202;15;563;15220
4207;14;570;15209
4195;14;577;15214
4192;10;587;15211
4171;10;604;15215
4173;9;613;15205
4185;6;607;15202
4162;8;612;15218
4172;7;605;15216
4154;8;617;15221
4145;7;626;15222
4167;6;614;15213
4151;9;638;15202
4148;14;627;15211
4128;14;651;15207
4135;12;648;15205
4148;15;643;15194
4134;13;621;15232
4122;12;609;15257
4128;13;612;15247
4123;14;607;15256
4136;11;612;15241
4131;11;605;15253
4130;12;598;15260
4168;14;589;15229
4176;15;582;15227
4188;19;578;15215
4196;19;576;15209
4206;18;573;15203
4183;16;579;15222
4190;17;581;15212
4188;16;608;15188
4151;15;630;15204
4141;15;615;15229
4131;10;637;15222
4123;12;623;15242
4132;9;640;15219
4108;13;648;15231
4099;15;639;15247
4119;15;639;15227
4146;11;622;15221
4161;11;599;15229
