Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19965;9;22;4
19952;13;26;9
19936;10;40;14
19898;14;58;30
19843;19;94;44
19769;16;155;60
19650;18;231;101
19460;24;365;151
19208;25;565;202
18772;31;888;309
18172;34;1305;489
17269;32;1964;735
15930;32;2959;1079
14146;38;4176;1640
11973;37;5620;2370
9615;42;7006;3337
7384;42;8037;4537
5445;31;8700;5824
3876;30;8836;7258
2818;24;8547;8611
2049;21;8106;9824
1544;24;7440;10992
1167;28;6756;12049
937;31;6122;12910
794;32;5438;13736
689;30;4839;14442
603;27;4314;15056
571;22;3818;15589
553;27;3362;16058
552;27;2975;16446
551;24;2632;16793
567;23;2306;17104
592;24;2017;17367
613;22;1751;17614
643;21;1535;17801
673;17;1376;17934
707;21;1211;18061
733;20;1096;18151
767;15;960;18258
806;16;848;18330
854;20;729;18397
894;20;659;18427
949;18;564;18469
1006;15;510;18469
1055;17;456;18472
1085;15;401;18499
1134;8;362;18496
1186;8;323;18483
1240;7;281;18472
1295;6;255;18444
1344;4;233;18419
1400;4;211;18385
1440;3;196;18361
1509;3;180;18308
1561;4;161;18274
1615;4;150;18231
1664;2;156;18178
1708;1;140;18151
1765;2;129;18104
1826;1;119;18054
1892;1;110;17997
1960;2;96;17942
2004;2;90;17904
2074;1;75;17850
2125;1;64;17810
2190;1;53;17756
2255;1;44;17700
2311;0;37;17652
2370;0;37;17593
2436;0;33;17531
2490;0;33;17477
2541;0;30;17429
2585;0;28;17387
2648;0;23;17329
2710;0;21;17269
2774;0;17;17209
2822;0;16;17162
2868;0;15;17117
2915;0;14;17071
2978;0;14;17008
3035;0;10;16955
3101;0;10;16889
3154;0;10;16836
3204;0;9;16787
3260;0;9;16731
3298;0;9;16693
3354;0;6;16640
3412;0;5;16583
3457;0;5;16538
3494;1;6;16499
3539;1;7;16453
3592;1;5;16402
3640;0;6;16354
3684;0;5;16311
3720;0;4;16276
3765;0;5;16230
3821;0;4;16175
3865;0;3;16132
3904;0;3;16093
3966;0;4;16030
4011;0;4;15985
4061;0;4;15935
4114;0;1;15885
4151;0;2;15847
4191;0;2;15807
4240;0;3;15757
4281;0;3;15716
4323;0;2;15675
4378;0;2;15620
4435;1;1;15563
4478;1;1;15520
4518;0;2;15480
4558;0;3;15439
4588;0;3;15409
4630;0;4;15366
4662;0;6;15332
4705;0;8;15287
4738;0;8;15254
4773;0;5;15222
4826;0;5;15169
4865;0;5;15130
4891;0;5;15104
4935;0;6;15059
4972;0;5;15023
5007;0;5;14988
5049;0;5;14946
5090;0;7;14903
5128;0;7;14865
5178;0;8;14814
5220;0;6;14774
5260;0;4;14736
5298;0;4;14698
5347;0;5;14648
5400;0;4;14596
5434;0;5;14561
5481;0;7;14512
5518;0;6;14476
5556;0;6;14438
5597;0;10;14393
5629;0;11;14360
5665;0;12;14323
5691;0;7;14302
5720;0;6;14274
5759;0;6;14235
5801;0;4;14195
5831;0;3;14166
5862;0;4;14134
5897;0;4;14099
5949;0;5;14046
5987;0;5;14008
6020;0;4;13976
6059;0;3;13938
6086;0;4;13910
6116;0;5;13879
6147;0;5;13848
6185;0;6;13809
6211;0;8;13781
6252;0;7;13741
6304;0;10;13686
6339;0;9;13652
6378;0;11;13611
6414;0;10;13576
6439;0;12;13549
6481;0;12;13507
6502;0;14;13484
6529;0;19;13452
6567;1;18;13414
6603;0;25;13372
6639;0;23;13338
6675;0;23;13302
6711;0;23;13266
6738;0;21;13241
6765;0;29;13206
6781;0;31;13188
6808;0;34;13158
6829;0;42;13129
6852;0;44;13104
6888;0;49;13063
6903;0;57;13040
6925;0;72;13003
6946;0;76;12978
6974;1;76;12949
6981;1;87;12931
6999;1;98;12902
7011;1;105;12883
7021;1;104;12874
7014;0;115;12871
7024;0;113;12863
7031;0;124;12845
7016;1;137;12846
7006;1;157;12836
7007;1;178;12814
6999;1;203;12797
6977;2;234;12787
6962;2;251;12785
6930;3;272;12795
6890;4;304;12802
6843;6;333;12818
6770;7;387;12836
6718;3;424;12855
