Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19964;8;24;4
19954;10;29;7
19930;16;40;14
19894;22;61;23
19845;21;102;32
19777;26;145;52
19666;22;234;78
19474;27;375;124
19187;24;580;209
18763;28;895;314
18143;33;1358;466
17199;38;2036;727
15877;36;2982;1105
14107;39;4204;1650
12025;37;5541;2397
9597;39;6951;3413
7298;39;8073;4590
5277;35;8769;5919
3765;30;8845;7360
2714;23;8579;8684
1960;25;8092;9923
1461;28;7483;11028
1124;26;6829;12021
904;33;6094;12969
736;29;5506;13729
622;31;4873;14474
571;34;4319;15076
543;35;3813;15609
531;31;3360;16078
531;23;2908;16538
538;23;2569;16870
555;22;2271;17152
577;20;2009;17394
600;18;1755;17627
618;25;1552;17805
627;24;1372;17977
661;21;1209;18109
700;20;1066;18214
743;17;941;18299
772;21;826;18381
804;24;741;18431
850;20;668;18462
906;20;582;18492
952;15;522;18511
1010;12;458;18520
1070;8;405;18517
1120;8;356;18516
1176;10;313;18501
1233;6;279;18482
1285;3;262;18450
1333;5;237;18425
1394;6;212;18388
1445;4;186;18365
1501;1;165;18333
1549;0;143;18308
1597;1;126;18276
1654;2;117;18227
1710;2;112;18176
1762;3;102;18133
1808;2;94;18096
1867;1;92;18040
1920;1;86;17993
1967;0;80;17953
2030;1;74;17895
2085;0;75;17840
2135;0;72;17793
2190;1;62;17747
2241;1;58;17700
2301;0;57;17642
2360;0;51;17589
2411;1;46;17542
2474;1;39;17486
2510;1;39;17450
2554;1;37;17408
2596;1;37;17366
2648;1;34;17317
2692;1;31;17276
2744;1;28;17227
2788;0;24;17188
2844;1;22;17133
2890;0;22;17088
2931;0;24;17045
2979;0;25;16996
3023;0;22;16955
3065;0;22;16913
3116;0;22;16862
3168;0;19;16813
3225;0;21;16754
3273;0;21;16706
3328;0;21;16651
3377;0;20;16603
3425;0;16;16559
3476;0;17;16507
3528;0;16;16456
3566;0;13;16421
3598;0;19;16383
3640;0;17;16343
3689;0;20;16291
3728;0;19;16253
3775;0;19;16206
3820;0;17;16163
3869;0;18;16113
3913;0;15;16072
3950;0;18;16032
3988;1;17;15994
4027;1;16;15956
4060;1;18;15921
4116;0;16;15868
4172;0;17;15811
4208;0;21;15771
4256;0;21;15723
4306;0;19;15675
4347;0;21;15632
4385;0;23;15592
4418;1;21;15560
4465;1;23;15511
4506;1;24;15469
4549;1;24;15426
4584;0;29;15387
4609;0;32;15359
4655;0;34;15311
4692;0;37;15271
4721;1;36;15242
4770;1;37;15192
4799;0;38;15163
4835;0;34;15131
4870;0;36;15094
4907;0;37;15056
4938;0;36;15026
4973;0;35;14992
5017;1;35;14947
5057;1;34;14908
5093;0;39;14868
5119;0;44;14837
5161;0;44;14795
5193;0;48;14759
5223;0;44;14733
5248;0;38;14714
5286;0;35;14679
5320;0;34;14646
5355;1;37;14607
5396;0;38;14566
5424;1;47;14528
5453;1;45;14501
5493;1;45;14461
5535;1;49;14415
5568;1;54;14377
5586;1;61;14352
5610;0;65;14325
5636;0;67;14297
5674;0;70;14256
5700;0;72;14228
5719;0;82;14199
5739;1;93;14167
5754;1;106;14139
5772;1;113;14114
5793;2;111;14094
5810;1;118;14071
5809;1;138;14052
5803;1;159;14037
5795;1;175;14029
5780;0;181;14039
5792;0;185;14023
5792;1;195;14012
5795;1;204;14000
5783;1;219;13997
5773;1;238;13988
5745;1;263;13991
5730;1;285;13984
5711;1;287;14001
5680;1;317;14002
5634;1;352;14013
5621;1;353;14025
5584;2;374;14040
5547;3;383;14067
5510;4;410;14076
5480;2;430;14088
5430;4;446;14120
5372;4;475;14149
5313;3;516;14168
5246;4;533;14217
5173;4;561;14262
5121;3;587;14289
5072;2;608;14318
5007;7;635;14351
4934;9;653;14404
4869;6;663;14462
4813;5;687;14495
4726;4;701;14569
4633;6;726;14635
4541;9;739;14711
4452;10;752;14786
4378;12;736;14874
4308;14;736;14942
4259;11;722;15008
4206;7;729;15058
4127;9;749;15115
4082;8;734;15176
4029;11;733;15227
3957;13;735;15295
3901;11;726;15362
3841;12;728;15419
3797;10;732;15461
3767;11;713;15509
3733;8;722;15537
3715;9;694;15582
3693;9;680;15618
3663;9;662;15666
3643;5;656;15696
3610;8;657;15725
3574;10;644;15772
3558;11;643;15788
3554;14;620;15812
3534;13;611;15842
3525;18;601;15856
3540;16;580;15864
3542;12;566;15880
3533;12;545;15910
3516;8;538;15938
3514;3;539;15944
3527;2;525;15946
3527;2;512;15959
3526;3;534;15937
3530;4;520;15946
3545;6;502;15947
3542;6;503;15949
3567;6;489;15938
3582;7;480;15931
3587;10;485;15918
3598;12;476;15914
3622;11;459;15908
3616;8;484;15892
3633;7;468;15892
3651;8;450;15891
3680;9;423;15888
3696;7;424;15873
3709;7;432;15852
3753;4;414;15829
3787;7;414;15792
3797;6;409;15788
3830;7;400;15763
3856;6;397;15741
3895;9;392;15704
3910;6;390;15694
3926;9;387;15678
3944;8;408;15640
3947;10;406;15637
3977;9;396;15618
3982;10;412;15596
4026;8;396;15570
4068;8;365;15559
4093;6;353;15548
4102;3;358;15537
4138;7;357;15498
4176;8;358;15458
4196;8;352;15444
4223;7;352;15418
4239;4;364;15393
4250;5;380;15365
4258;8;376;15358
4265;10;386;15339
4287;8;380;15325
4314;5;390;15291
4338;5;392;15265
4347;4;392;15257
4371;3;391;15235
4392;5;402;15201
4397;6;395;15202
4426;5;399;15170
4457;5;389;15149
4483;5;374;15138
4505;7;376;15112
4525;5;378;15092
4548;7;376;15069
4577;4;380;15039
4601;5;391;15003
4632;6;385;14977
4653;5;376;14966
4689;2;379;14930
4698;3;388;14911
4698;5;413;14884
4694;4;414;14888
4697;7;417;14879
4699;8;418;14875
4706;10;423;14861
4728;9;424;14839
4739;13;420;14828
4749;14;435;14802
4743;11;443;14803
4738;11;465;14786
4736;9;475;14780
4738;7;505;14750
4727;9;523;14741
4735;9;520;14736
4719;10;540;14731
4730;7;558;14705
4716;8;551;14725
4692;12;562;14734
4702;10;571;14717
4696;9;574;14721
4683;13;602;14702
4661;17;599;14723
4631;16;622;14731
4588;11;651;14750
4569;10;651;14770
4540;12;636;14812
4514;14;629;14843
4476;16;649;14859
4458;13;679;14850
4398;16;708;14878
4350;16;727;14907
4326;11;745;14918
4319;12;765;14904
4287;14;780;14919
4265;13;795;14927
4208;11;804;14977
4161;12;818;15009
4115;12;804;15069
4076;13;798;15113
4059;13;790;15138
4044;13;772;15171
4035;7;755;15203
4027;12;748;15213
4006;12;722;15260
3994;13;726;15267
3986;17;712;15285
3964;17;723;15296
3944;15;703;15338
3933;16;705;15346
3899;17;709;15375
3893;10;724;15373
3862;12;734;15392
3850;22;706;15422
3822;17;714;15447
3802;15;719;15464
3796;15;712;15477
3807;9;711;15473
3808;8;702;15482
3800;12;716;15472
3782;16;713;15489
3783;16;710;15491
3772;15;703;15510
3764;18;668;15550
3784;20;646;15550
3786;16;630;15568
3812;13;634;15541
3836;13;625;15526
3836;16;621;15527
3834;16;620;15530
3828;17;615;15540
3880;14;586;15520
3874;15;576;15535
3877;12;579;15532
3879;13;579;15529
3896;8;557;15539
3911;9;557;15523
3925;8;550;15517
3915;14;552;15519
3938;23;548;15491
3963;20;549;15468
3975;16;544;15465
3997;17;520;15466
4010;14;511;15465
4013;15;505;15467
4029;12;510;15449
4040;9;509;15442
4074;9;509;15408
4085;12;515;15388
4097;11;527;15365
4098;9;548;15345
4106;12;565;15317
4097;11;566;15326
4107;13;566;15314
4112;13;588;15287
4109;12;598;15281
4109;12;583;15296
4117;12;590;15281
4126;11;587;15276
4124;15;590;15271
4147;12;592;15249
4151;11;590;15248
4132;6;595;15267
4130;8;584;15278
4138;8;585;15269
4152;8;590;15250
4143;10;595;15252
4152;9;579;15260
4149;12;572;15267
4168;11;570;15251
4164;8;575;15253
4163;13;569;15255
4161;12;588;15239
4155;16;585;15244
4135;15;585;15265
4163;13;573;15251
4151;11;576;15262
4144;10;580;15266
4161;9;570;15260
4184;13;563;15240
4186;10;576;15228
4163;11;577;15249
4172;9;567;15252
4196;13;551;15240
4203;15;553;15229
4192;12;571;15225
4210;15;566;15209
4195;13;572;15220
4182;13;583;15222
4194;15;575;15216
4166;15;622;15197
4143;11;614;15232
4148;9;618;15225
4138;13;616;15233
4118;14;614;15254
4109;13;615;15263
4110;12;613;15265
4092;8;620;15280
4086;15;616;15283
4080;15;624;15281
4085;17;633;15265
4062;14;636;15288
4055;15;623;15307
4042;15;635;15308
4020;16;650;15314
4015;15;627;15343
3990;17;636;15357
3973;21;653;15353
3977;22;650;15351
3964;16;657;15363
3928;14;671;15387
3914;20;659;15407
3924;17;641;15418
3930;17;645;15408
3961;14;625;15400
4003;14;617;15366
4017;10;604;15369
3992;6;630;15372
3998;7;613;15382
4000;10;592;15398
4000;10;591;15399
4010;10;585;15395
4026;12;569;15393
4044;15;566;15375
4022;14;598;15366
4035;18;562;15385
4038;19;568;15375
4054;20;558;15368
4051;20;565;15364
4052;25;569;15354
4062;20;573;15345
4066;21;562;15351
4065;18;580;15337
4053;11;589;15347
4059;12;576;15353
4040;15;576;15369
4035;10;587;15368
4053;9;585;15353
4050;11;579;15360
4041;14;588;15357
4047;19;589;15345
4050;17;583;15350
4040;19;587;15354
4046;16;594;15344
4040;14;602;15344
4028;15;613;15344
4023;15;604;15358
4012;14;604;15370
4019;15;587;15379
4005;9;596;15390
3988;11;591;15410
4013;9;572;15406
4019;13;572;15396
4044;12;578;15366
4036;16;595;15353
4029;19;587;15365
4029;17;612;15342
4040;19;604;15337
4050;18;615;15317
4061;16;590;15333
4053;13;588;15346
4064;16;577;15343
4058;15;591;15336
4081;18;574;15327
4074;15;580;15331
4081;11;592;15316
4092;17;598;15293
4093;18;594;15295
4099;17;575;15309
4120;15;585;15280
4112;17;583;15288
4129;17;570;15284
4130;13;571;15286
4138;10;561;15291
4152;7;567;15274
4174;9;540;15277
4153;14;559;15274
4164;12;551;15273
4191;13;548;15248
4210;18;549;15223
4216;14;534;15236
4208;13;538;15241
4214;14;528;15244
4207;8;559;15226
4199;11;553;15237
4208;9;544;15239
4217;11;542;15230
4244;12;520;15224
4244;11;531;15214
4238;11;550;15201
4257;10;538;15195
4260;14;539;15187
4268;17;535;15180
4272;14;555;15159
4288;11;538;15163
4296;9;568;15127
4307;8;566;15119
4294;9;569;15128
4282;12;572;15134
4314;13;557;15116
4295;13;578;15114
4283;17;597;15103
4281;13;604;15102
4252;14;618;15116
4219;17;644;15120
4232;14;659;15095
4243;11;638;15108
4252;12;635;15101
4241;13;647;15099
4253;16;629;15102
4231;12;658;15099
4243;11;670;15076
4216;15;672;15097
4194;14;680;15112
4186;20;659;15135
4190;17;649;15144
4190;17;667;15126
4179;16;666;15139
4173;18;671;15138
4177;17;669;15137
4194;18;666;15122
4189;16;659;15136
4184;17;654;15145
4164;17;686;15133
4161;16;674;15149
4166;17;655;15162
4159;13;655;15173
4136;13;659;15192
4135;14;670;15181
4136;14;654;15196
4117;13;651;15219
4119;14;652;15215
4112;11;661;15216
4127;8;659;15206
4120;12;647;15221
4128;14;654;15204
4109;14;664;15213
4117;12;616;15255
4112;9;618;15261
4127;8;618;15247
4127;9;618;15246
4110;8;632;15250
4100;9;646;15245
4100;14;654;15232
4115;12;628;15245
4119;14;640;15227
4119;15;646;15220
4110;16;623;15251
4115;12;634;15239
4101;13;644;15242
4106;12;631;15251
4107;11;617;15265
4130;14;585;15271
4154;16;591;15239
4152;13;582;15253
4166;15;584;15235
4187;10;580;15223
4183;14;580;15223
4195;12;591;15202
4210;15;584;15191
4213;14;580;15193
4208;11;592;15189
4228;11;588;15173
4237;12;591;15160
4263;11;576;15150
4290;15;568;15127
4285;15;589;15111
4263;15;609;15113
4261;17;603;15119
4259;16;610;15115
4274;18;591;15117
4272;16;584;15128
4280;19;601;15100
4259;16;625;15100
4251;14;640;15095
4245;11;666;15078
4231;10;659;15100
4233;12;665;15090
4228;13;637;15122
4210;18;632;15140
4216;18;633;15133
4232;19;614;15135
4237;14;614;15135
4219;13;634;15134
4217;15;623;15145
4207;14;626;15153
4216;18;628;15138
4203;18;654;15125
4194;19;652;15135
4183;19;673;15125
4169;14;688;15129
4168;16;690;15126
4154;19;688;15139
4136;21;690;15153
4117;16;708;15159
4098;16;716;15170
4097;17;699;15187
4097;15;711;15177
4096;19;675;15210
4073;17;696;15214
4061;16;687;15236
4055;14;671;15260
4038;10;685;15267
4012;13;672;15303
4025;11;682;15282
4011;12;703;15274
4014;11;672;15303
