Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19969;7;19;5
19942;15;36;7
19913;20;53;14
19851;22;105;22
19748;27;188;37
19574;34;318;74
19229;41;602;128
18581;68;1101;250
17592;92;1846;470
15966;114;3088;832
13680;139;4754;1427
11059;129;6466;2346
8405;114;8008;3473
6041;97;9013;4849
4229;77;9406;6288
3010;58;9204;7728
2158;57;8733;9052
1565;54;8095;10286
1183;46;7359;11412
940;43;6616;12401
773;43;5888;13296
668;38;5204;14090
606;36;4541;14817
562;27;4009;15402
545;24;3542;15889
537;21;3099;16343
530;17;2737;16716
552;22;2370;17056
580;24;2091;17305
614;27;1836;17523
649;23;1608;17720
676;23;1413;17888
706;27;1280;17987
754;20;1121;18105
795;17;1009;18179
839;13;884;18264
878;12;789;18321
905;8;688;18399
951;11;619;18419
999;10;536;18455
1041;8;467;18484
1071;8;410;18511
1123;10;361;18506
1186;7;309;18498
1264;5;284;18447
1316;2;254;18428
1366;2;234;18398
1426;2;198;18374
1487;2;178;18333
1536;2;164;18298
1588;1;148;18263
1646;1;133;18220
1702;1;113;18184
1771;1;109;18119
1830;0;100;18070
1880;0;87;18033
1934;1;76;17989
1998;0;67;17935
2049;0;63;17888
2101;1;56;17842
2166;1;55;17778
2225;1;46;17728
2266;2;47;17685
2305;1;42;17652
2345;1;37;17617
2397;1;35;17567
2443;1;36;17520
2501;1;32;17466
2560;1;33;17406
2614;2;36;17348
2656;2;41;17301
2706;1;36;17257
2756;1;35;17208
2804;1;34;17161
2849;0;34;17117
2897;0;28;17075
2940;0;26;17034
2980;0;26;16994
3039;0;23;16938
3097;0;20;16883
3145;0;22;16833
3198;0;18;16784
3239;0;14;16747
3295;0;14;16691
3343;0;17;16640
3397;0;18;16585
3440;0;17;16543
3490;0;16;16494
3543;0;18;16439
3585;0;18;16397
3624;0;18;16358
3669;0;16;16315
3713;0;14;16273
3753;0;11;16236
3789;0;10;16201
3843;0;10;16147
3886;0;10;16104
3925;0;11;16064
3975;0;13;16012
4017;0;14;15969
4051;0;16;15933
4084;0;15;15901
4125;0;13;15862
4170;0;12;15818
4208;0;10;15782
4247;0;11;15742
4286;0;11;15703
4327;0;12;15661
4364;0;16;15620
4414;0;15;15571
4451;0;12;15537
4490;0;13;15497
4525;1;12;15462
4555;2;12;15431
4601;2;7;15390
4634;1;9;15356
4678;1;6;15315
4722;1;11;15266
4772;0;10;15218
4812;0;11;15177
4850;2;11;15137
4891;1;10;15098
4928;1;11;15060
4968;1;15;15016
5008;1;13;14978
5048;1;16;14935
5090;1;15;14894
5127;1;17;14855
5175;1;21;14803
5212;1;23;14764
5252;1;24;14723
5284;0;23;14693
5318;0;25;14657
5355;0;24;14621
5403;0;18;14579
5436;0;22;14542
5470;0;21;14509
5506;0;20;14474
5541;0;22;14437
5565;0;26;14409
5598;0;22;14380
5636;0;26;14338
5680;0;24;14296
5719;0;24;14257
5755;0;25;14220
5790;0;31;14179
5823;0;29;14148
5859;0;25;14116
5910;0;18;14072
5948;0;19;14033
5981;0;24;13995
6018;0;27;13955
6045;0;31;13924
6085;0;32;13883
6104;1;35;13860
6129;1;43;13827
6168;1;38;13793
6195;1;38;13766
6224;0;42;13734
6254;0;39;13707
6267;0;48;13685
6301;0;55;13644
6317;0;69;13614
6339;0;67;13594
6357;0;82;13561
6374;1;101;13524
6403;1;101;13495
6414;1;106;13479
6423;2;119;13456
6444;2;124;13430
6461;2;134;13403
6483;1;130;13386
6496;0;144;13360
6499;0;162;13339
6497;0;177;13326
6511;0;187;13302
6497;0;215;13288
6471;1;242;13286
6450;4;266;13280
6428;4;286;13282
6402;5;295;13298
6398;2;304;13296
6349;4;348;13299
6316;3;369;13312
6239;3;409;13349
6188;3;424;13385
6142;1;444;13413
6075;4;483;13438
6006;4;532;13458
5928;5;565;13502
5853;4;596;13547
5737;3;659;13601
5625;8;702;13665
5545;7;711;13737
5452;7;751;13790
5333;13;773;13881
5215;11;811;13963
5095;10;830;14065
4985;10;860;14145
4870;10;869;14251
4745;9;918;14328
4643;7;912;14438
4520;9;948;14523
4428;9;941;14622
4341;8;957;14694
4236;10;971;14783
4125;14;970;14891
4059;13;920;15008
3955;11;929;15105
3890;10;904;15196
3816;12;899;15273
3755;12;869;15364
3727;12;837;15424
3676;13;841;15470
3635;11;816;15538
3591;10;799;15600
3520;9;792;15679
3460;10;809;15721
3442;15;794;15749
3424;15;779;15782
3395;17;752;15836
3383;14;730;15873
3352;11;737;15900
3323;13;711;15953
3328;13;671;15988
3326;9;641;16024
3325;11;621;16043
3330;6;595;16069
3344;8;570;16078
3343;5;566;16086
3348;6;556;16090
3380;9;517;16094
3383;5;519;16093
3407;4;495;16094
3427;5;489;16079
3458;6;461;16075
3479;7;445;16069
3516;5;416;16063
3560;7;402;16031
3582;11;394;16013
3596;10;395;15999
3620;10;394;15976
3634;11;401;15954
3655;6;389;15950
3670;9;371;15950
