Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19963;8;24;5
19947;14;25;14
19925;17;40;18
19900;19;59;22
19859;15;84;42
19803;14;127;56
19723;17;177;83
19572;25;288;115
19348;27;452;173
19026;23;705;246
18498;20;1113;369
17713;18;1694;575
16571;23;2534;872
15065;30;3607;1298
13057;27;4975;1941
10766;22;6381;2831
8410;28;7619;3943
6288;28;8470;5214
4490;28;8875;6607
3175;25;8819;7981
2318;22;8318;9342
1714;21;7728;10537
1316;19;7052;11613
1017;26;6438;12519
819;32;5768;13381
710;29;5170;14091
642;27;4602;14729
566;28;4070;15336
541;29;3559;15871
530;33;3140;16297
535;32;2760;16673
522;30;2472;16976
558;21;2220;17201
580;21;1889;17510
618;19;1671;17692
647;21;1477;17855
692;19;1299;17990
714;21;1145;18120
760;19;1005;18216
804;18;867;18311
863;20;749;18368
932;21;668;18379
965;22;604;18409
1008;13;557;18422
1056;13;499;18432
1111;10;439;18440
1162;9;394;18435
1212;10;366;18412
1264;6;315;18415
1305;5;281;18409
1354;5;252;18389
1392;3;230;18375
1446;2;222;18330
1502;3;190;18305
1550;1;184;18265
1603;3;169;18225
1653;4;152;18191
1712;5;135;18148
1770;5;122;18103
1824;3;119;18054
1879;3;113;18005
1942;3;104;17951
1993;5;96;17906
2045;3;93;17859
2103;4;81;17812
2157;4;72;17767
2222;2;67;17709
2282;2;60;17656
2327;2;51;17620
2366;1;52;17581
2415;1;48;17536
2459;1;44;17496
2522;1;41;17436
2581;0;36;17383
2643;0;34;17323
2698;0;33;17269
2746;0;31;17223
2795;0;26;17179
2854;0;24;17122
2909;0;23;17068
2960;0;15;17025
3020;0;14;16966
3060;0;15;16925
3108;0;15;16877
3155;0;15;16830
3211;0;17;16772
3260;0;16;16724
3312;0;16;16672
3380;0;17;16603
3431;0;18;16551
3482;0;15;16503
3528;0;17;16455
3585;0;14;16401
3639;0;12;16349
3687;0;9;16304
3734;0;9;16257
3781;0;11;16208
3837;0;11;16152
3883;0;12;16105
3922;0;12;16066
3952;0;10;16038
3990;0;11;15999
4035;0;8;15957
4074;0;8;15918
4125;0;9;15866
4159;0;9;15832
4209;0;9;15782
4252;0;7;15741
4310;0;6;15684
4361;0;7;15632
4402;0;7;15591
4439;0;10;15551
4481;0;9;15510
4529;0;8;15463
4570;0;11;15419
4613;0;11;15376
4663;0;11;15326
4706;0;10;15284
4745;0;12;15243
4783;0;13;15204
4827;0;15;15158
4850;0;17;15133
4900;0;16;15084
4929;0;18;15053
4963;0;19;15018
5009;0;21;14970
5048;0;18;14934
5094;0;20;14886
5129;0;20;14851
5156;0;19;14825
5186;0;22;14792
5224;0;27;14749
5260;0;24;14716
5298;0;21;14681
5333;0;28;14639
5367;0;29;14604
5402;0;29;14569
5452;0;29;14519
5474;0;30;14496
5509;0;32;14459
5538;0;35;14427
5563;0;39;14398
5594;0;41;14365
5632;0;38;14330
5657;0;41;14302
5692;0;43;14265
5712;0;43;14245
5731;0;42;14227
5762;0;45;14193
5788;0;45;14167
5832;0;43;14125
5856;0;42;14102
5891;0;50;14059
5915;0;54;14031
5951;0;60;13989
5976;1;69;13954
5999;1;74;13926
6021;0;84;13895
6045;0;90;13865
6077;0;92;13831
6094;0;94;13812
6119;0;95;13786
6138;0;94;13768
6163;2;95;13740
6182;1;111;13706
6187;1;112;13700
6195;2;118;13685
6217;2;119;13662
6240;3;119;13638
6250;3;121;13626
6249;3;143;13605
6257;2;160;13581
6264;1;171;13564
6255;1;189;13555
6252;1;220;13527
6249;3;239;13509
6231;3;265;13501
6194;2;291;13513
6165;3;302;13530
6148;3;314;13535
6136;2;347;13515
6096;3;383;13518
6045;4;415;13536
6000;4;429;13567
5967;4;438;13591
5916;4;466;13614
5856;5;499;13640
5803;4;509;13684
5731;10;532;13727
5633;6;575;13786
5544;7;616;13833
5457;8;650;13885
5344;7;698;13951
5275;6;722;13997
5160;5;797;14038
5035;8;835;14122
4927;12;846;14215
4826;11;876;14287
4706;13;906;14375
4602;17;937;14444
4493;11;959;14537
4409;10;964;14617
4300;5;989;14706
4209;5;978;14808
4087;10;991;14912
3991;11;1012;14986
3908;9;1018;15065
3811;16;1022;15151
3705;13;1028;15254
3638;16;1004;15342
3584;15;983;15418
3515;16;952;15517
3448;11;932;15609
3409;10;869;15712
3364;11;867;15758
3311;13;859;15817
3298;10;825;15867
3261;14;803;15922
3246;18;789;15947
3221;18;758;16003
3205;18;735;16042
3201;19;707;16073
3204;24;688;16084
3204;16;672;16108
3193;16;652;16139
3199;18;626;16157
3206;18;599;16177
3196;17;577;16210
3223;17;531;16229
3227;14;530;16229
3261;10;502;16227
3291;10;480;16219
3307;11;479;16203
3353;14;458;16175
3382;10;447;16161
3403;10;425;16162
3446;9;397;16148
3470;9;394;16127
3504;7;393;16096
