Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19962;13;21;4
19942;22;31;5
19924;21;47;8
19883;23;75;19
19832;27;110;31
19747;31;171;51
19616;36;268;80
19413;31;428;128
19081;34;652;233
18591;40;1017;352
17858;41;1535;566
16828;48;2277;847
15448;42;3235;1275
13623;38;4498;1841
11426;39;5887;2648
9052;34;7232;3682
6790;24;8295;4891
4948;23;8780;6249
3549;23;8818;7610
2581;24;8496;8899
1855;24;8028;10093
1357;27;7339;11277
1066;37;6601;12296
860;37;5984;13119
741;37;5336;13886
656;38;4715;14591
606;44;4146;15204
595;36;3677;15692
581;31;3219;16169
580;30;2849;16541
584;32;2544;16840
591;27;2271;17111
599;29;2009;17363
630;26;1771;17573
648;25;1543;17784
703;20;1375;17902
741;13;1217;18029
769;12;1065;18154
810;12;943;18235
864;9;845;18282
906;7;757;18330
953;7;670;18370
1012;5;603;18380
1052;8;540;18400
1106;8;486;18400
1147;11;438;18404
1193;9;403;18395
1234;8;356;18402
1279;7;312;18402
1342;7;282;18369
1400;7;263;18330
1459;7;223;18311
1508;8;197;18287
1567;7;168;18258
1619;5;163;18213
1671;4;154;18171
1719;3;134;18144
1782;5;117;18096
1837;4;103;18056
1900;4;92;18004
1946;3;79;17972
2006;2;73;17919
2075;1;65;17859
2136;1;62;17801
2182;0;63;17755
2238;0;65;17697
2286;0;60;17654
2323;0;60;17617
2383;1;58;17558
2432;1;51;17516
2482;1;44;17473
2531;2;44;17423
2596;1;41;17362
2646;0;39;17315
2692;0;38;17270
2747;0;38;17215
2791;0;39;17170
2825;0;38;17137
2860;0;38;17102
2906;0;37;17057
2954;0;36;17010
2998;0;30;16972
3067;0;28;16905
3106;0;30;16864
3145;0;29;16826
3192;1;27;16780
3243;1;28;16728
3292;1;30;16677
3334;0;33;16633
3379;0;28;16593
3422;0;26;16552
3465;0;23;16512
3515;0;28;16457
3568;1;24;16407
3615;1;22;16362
3659;0;18;16323
3699;0;22;16279
3754;0;19;16227
3795;1;19;16185
3838;1;18;16143
3877;1;17;16105
3921;1;16;16062
3970;1;15;16014
4007;0;17;15976
4052;0;17;15931
4087;0;19;15894
4124;0;22;15854
4181;1;17;15801
4219;0;18;15763
4259;0;21;15720
4300;0;16;15684
4335;0;18;15647
4384;0;17;15599
4418;0;18;15564
4469;0;18;15513
4516;0;15;15469
4560;0;21;15419
4610;0;21;15369
4660;0;20;15320
4703;0;21;15276
4741;0;22;15237
4786;0;21;15193
4838;0;24;15138
4870;0;26;15104
4899;1;29;15071
4935;1;28;15036
4974;1;35;14990
5013;2;38;14947
5046;2;35;14917
5086;1;33;14880
5113;0;34;14853
5161;0;30;14809
5196;0;33;14771
