Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19962;6;28;4
19933;11;48;8
19899;15;68;18
19854;18;97;31
19771;23;153;53
19651;28;240;81
19438;33;396;133
19143;36;610;211
18651;39;989;321
17934;50;1504;512
16964;59;2183;794
15580;58;3147;1215
13747;67;4390;1796
11597;67;5713;2623
9323;62;7035;3580
7067;53;8128;4752
5151;46;8693;6110
3701;38;8757;7504
2638;40;8528;8794
1888;37;8044;10031
1432;39;7409;11120
1096;35;6795;12074
887;34;6043;13036
751;30;5355;13864
670;30;4735;14565
626;25;4213;15136
593;27;3689;15691
592;26;3266;16116
583;17;2912;16488
585;18;2614;16783
600;20;2263;17117
620;20;2000;17360
622;14;1779;17585
641;15;1588;17756
676;16;1373;17935
700;12;1211;18077
743;9;1089;18159
780;8;1000;18212
823;5;901;18271
863;9;802;18326
921;8;708;18363
960;15;637;18388
1008;16;569;18407
1055;12;523;18410
1102;12;453;18433
1145;12;399;18444
1204;8;371;18417
1254;9;334;18403
1310;5;310;18375
1356;7;283;18354
1414;8;256;18322
1465;5;234;18296
1515;4;218;18263
1562;3;197;18238
1609;5;174;18212
1647;4;166;18183
1715;2;145;18138
1777;4;133;18086
1819;1;129;18051
1885;1;110;18004
1931;1;94;17974
1982;2;78;17938
2043;1;79;17877
2074;2;71;17853
2115;0;71;17814
2163;0;68;17769
2206;0;60;17734
2267;0;57;17676
2323;0;49;17628
2374;0;46;17580
2424;0;40;17536
2474;0;40;17486
2526;0;38;17436
2574;0;35;17391
2614;0;33;17353
2671;0;28;17301
2723;0;25;17252
2786;0;23;17191
2838;0;18;17144
2882;0;16;17102
2941;0;14;17045
2983;0;11;17006
3038;0;14;16948
3086;0;13;16901
3152;0;14;16834
3202;0;13;16785
3253;0;13;16734
3301;0;14;16685
3342;0;15;16643
3398;0;13;16589
3440;0;11;16549
3503;0;10;16487
3561;0;9;16430
3602;0;8;16390
3647;0;8;16345
3700;0;7;16293
3744;0;9;16247
3798;0;8;16194
3843;0;6;16151
3896;0;7;16097
3945;0;9;16046
3991;0;7;16002
4050;0;7;15943
4098;0;7;15895
4135;0;7;15858
4161;0;7;15832
4208;0;5;15787
4255;0;6;15739
4293;0;6;15701
4327;0;7;15666
4373;0;8;15619
4417;0;9;15574
4482;0;9;15509
4529;0;8;15463
4571;0;8;15421
4616;0;9;15375
4661;0;8;15331
4701;0;7;15292
4739;0;10;15251
4769;0;13;15218
4804;1;15;15180
4854;1;13;15132
4889;1;12;15098
4926;1;14;15059
4954;1;16;15029
4995;2;13;14990
5039;2;12;14947
5093;1;14;14892
5140;0;17;14843
5175;0;21;14804
5210;1;21;14768
5240;1;22;14737
5271;1;23;14705
5304;1;25;14670
5334;1;24;14641
5375;1;27;14597
5419;1;24;14556
5452;0;25;14523
5499;0;26;14475
5537;0;31;14432
5555;0;34;14411
5595;0;35;14370
5623;0;35;14342
5660;0;41;14299
5694;0;40;14266
5740;0;39;14221
5768;1;42;14189
5800;1;39;14160
5826;1;36;14137
5853;1;36;14110
5885;1;36;14078
5907;1;37;14055
