Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19965;7;22;6
19949;12;27;12
19935;12;35;18
19907;15;49;29
19880;12;71;37
19812;19;122;47
19723;18;182;77
19579;23;289;109
19354;22;467;157
18999;36;724;241
18475;29;1111;385
17676;37;1706;581
16534;46;2519;901
14982;47;3601;1370
12991;50;4972;1987
10661;48;6400;2891
8199;43;7705;4053
6041;35;8607;5317
4345;33;8955;6667
3123;30;8797;8050
2221;30;8444;9305
1653;29;7838;10480
1271;26;7078;11625
977;30;6390;12603
826;29;5713;13432
696;30;5165;14109
632;23;4591;14754
589;30;4040;15341
577;24;3612;15787
551;21;3182;16246
546;27;2764;16663
573;28;2411;16988
594;27;2105;17274
608;21;1868;17503
640;20;1668;17672
659;20;1502;17819
684;25;1346;17945
721;24;1182;18073
745;22;1031;18202
796;15;908;18281
834;18;799;18349
873;14;727;18386
924;6;647;18423
968;5;587;18440
1018;7;501;18474
1083;8;438;18471
1133;7;395;18465
1182;5;349;18464
1224;9;307;18460
1263;8;266;18463
1328;6;233;18433
1387;3;214;18396
1443;2;180;18375
1505;4;158;18333
1558;4;143;18295
1618;4;126;18252
1662;2;118;18218
1716;1;102;18181
1768;1;92;18139
1820;1;84;18095
1870;1;78;18051
1924;1;71;18004
1978;0;64;17958
2037;1;58;17904
2085;1;52;17862
2125;2;49;17824
2177;1;38;17784
2229;0;39;17732
2291;0;38;17671
2341;0;36;17623
2396;0;33;17571
2453;0;30;17517
2513;1;29;17457
2564;2;30;17404
2612;2;26;17360
2670;0;22;17308
2721;0;15;17264
2791;0;13;17196
2830;0;11;17159
2887;0;10;17103
2947;0;10;17043
2996;0;8;16996
3036;0;9;16955
3088;0;7;16905
3142;0;5;16853
3190;0;4;16806
3224;0;3;16773
3273;0;3;16724
3314;0;3;16683
3365;0;2;16633
3421;0;3;16576
3477;0;3;16520
3533;0;4;16463
3577;0;3;16420
3629;0;3;16368
3673;0;2;16325
3732;0;3;16265
3780;0;4;16216
3831;0;5;16164
3877;0;4;16119
3924;0;2;16074
3974;0;1;16025
4012;0;1;15987
4051;0;1;15948
4082;0;2;15916
4129;0;2;15869
4170;0;1;15829
4213;0;1;15786
4264;0;1;15735
4311;0;2;15687
4347;1;1;15651
4382;0;3;15615
4424;0;2;15574
4464;0;1;15535
4503;0;1;15496
4549;0;1;15450
4597;0;2;15401
4641;0;2;15357
4679;0;4;15317
4717;0;7;15276
4763;0;7;15230
4806;0;7;15187
4856;0;6;15138
4892;0;7;15101
4933;0;8;15059
4962;0;7;15031
5004;0;10;14986
5055;0;12;14933
5086;0;14;14900
5127;0;14;14859
5159;0;15;14826
5200;1;15;14784
5236;0;18;14746
5266;1;20;14713
5306;0;17;14677
5335;0;19;14646
5367;0;21;14612
5400;0;21;14579
5438;0;24;14538
5466;0;23;14511
5505;0;24;14471
5537;0;26;14437
5573;0;30;14397
5610;0;29;14361
5643;0;29;14328
5672;0;32;14296
5711;0;33;14256
5744;0;35;14221
5793;0;29;14178
5822;0;26;14152
5861;0;29;14110
5903;0;31;14066
5934;0;27;14039
5980;0;27;13993
6008;0;27;13965
6047;0;34;13919
6083;0;39;13878
6102;0;42;13856
6128;0;51;13821
6151;0;56;13793
6165;1;59;13775
6193;1;56;13750
6214;0;63;13723
6230;0;77;13693
6245;0;73;13682
6270;1;80;13649
6275;2;87;13636
6287;0;101;13612
6304;0;104;13592
6323;0;115;13562
6341;1;107;13551
6356;2;121;13521
6364;1;130;13505
6365;1;158;13476
6373;3;159;13465
6362;4;176;13458
6359;2;198;13441
6336;2;217;13445
6316;3;249;13432
6294;1;255;13450
6280;1;286;13433
6242;2;316;13440
6190;4;369;13437
6144;2;398;13456
6096;1;434;13469
6000;4;490;13506
5929;3;499;13569
5848;3;537;13612
5740;2;599;13659
5637;1;658;13704
5519;2;704;13775
5395;3;758;13844
5290;6;783;13921
5173;8;839;13980
5057;11;870;14062
4935;8;916;14141
4813;11;928;14248
4724;11;923;14342
4622;6;946;14426
4518;5;977;14500
4397;7;1005;14591
4272;14;1004;14710
4148;12;1009;14831
4058;9;1006;14927
3974;14;972;15040
3912;9;942;15137
3832;9;950;15209
3763;12;946;15279
3700;13;941;15346
3625;17;913;15445
3578;18;891;15513
3530;15;860;15595
3483;10;856;15651
3435;16;818;15731
3385;14;830;15771
3328;15;817;15840
3302;18;779;15901
3275;19;727;15979
3238;16;703;16043
3218;16;698;16068
3196;11;673;16120
3173;12;658;16157
3159;5;651;16185
3154;7;619;16220
3162;6;612;16220
3169;8;571;16252
3169;6;584;16241
3189;7;551;16253
3195;11;537;16257
3238;4;520;16238
3255;4;501;16240
3270;4;489;16237
3268;7;470;16255
3289;6;468;16237
3322;7;449;16222
3370;9;421;16200
3381;10;408;16201
3400;9;389;16202
3417;11;399;16173
3449;8;403;16140
3490;9;384;16117
3518;9;367;16106
3558;4;368;16070
3594;4;373;16029
3618;2;363;16017
3656;3;352;15989
3716;4;329;15951
3754;5;305;15936
3791;4;292;15913
3826;3;288;15883
3862;3;285;15850
3885;4;282;15829
3907;6;284;15803
3949;6;281;15764
3994;5;283;15718
4039;6;283;15672
4089;6;284;15621
4128;8;278;15586
4152;7;296;15545
4168;7;300;15525
4190;6;306;15498
4237;4;301;15458
4269;4;293;15434
4311;6;301;15382
4347;4;299;15350
4387;5;308;15300
4404;4;310;15282
4458;4;306;15232
4487;3;312;15198
4511;3;324;15162
4526;7;341;15126
4537;6;359;15098
4539;5;393;15063
4566;5;402;15027
4554;10;399;15037
4567;13;414;15006
4575;14;421;14990
4573;9;429;14989
4577;9;430;14984
4581;9;430;14980
4594;10;445;14951
4598;7;475;14920
4590;8;480;14922
4569;5;512;14914
4572;8;517;14903
4564;11;526;14899
4548;7;551;14894
4550;6;552;14892
4538;5;558;14899
4533;7;564;14896
4514;6;575;14905
4496;8;577;14919
4489;8;591;14912
4496;5;580;14919
4457;12;568;14963
4437;11;579;14973
4443;9;572;14976
4428;10;580;14982
4411;8;600;14981
4381;8;608;15003
4381;11;604;15004
4357;12;617;15014
4330;12;622;15036
4353;11;601;15035
4331;9;607;15053
4315;9;618;15058
4313;16;625;15046
4296;17;635;15052
4280;16;632;15072
4277;20;642;15061
4267;18;645;15070
4238;18;662;15082
4246;12;646;15096
4242;13;640;15105
4214;12;634;15140
4214;11;621;15154
4202;13;634;15151
4159;14;670;15157
4153;12;663;15172
4135;12;681;15172
4110;6;676;15208
4099;7;667;15227
4065;12;700;15223
4041;10;705;15244
4009;13;705;15273
4004;14;696;15286
3999;13;711;15277
4003;15;691;15291
4014;11;691;15284
4019;15;661;15305
4012;14;671;15303
4018;13;663;15306
4004;15;656;15325
3996;19;660;15325
3991;16;657;15336
4007;10;633;15350
4026;10;628;15336
4023;7;633;15337
4024;14;614;15348
4030;15;618;15337
4033;17;623;15327
4029;14;626;15331
4045;14;611;15330
4048;18;611;15323
4058;21;608;15313
4054;24;611;15311
