Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19969;7;21;3
19950;10;32;8
19927;9;49;15
19895;13;67;25
19847;14;107;32
19756;17;167;60
19635;21;255;89
19433;33;382;152
19149;36;595;220
18703;38;922;337
18035;40;1399;526
17098;35;2042;825
15730;47;3063;1160
13939;52;4298;1711
11825;51;5600;2524
9497;36;6924;3543
7239;31;8041;4689
5313;29;8672;5986
3828;26;8800;7346
2720;26;8631;8623
1987;19;8097;9897
1505;22;7472;11001
1188;23;6770;12019
949;20;6136;12895
814;24;5498;13664
717;27;4844;14412
631;31;4287;15051
598;28;3800;15574
568;29;3340;16063
554;37;2952;16457
579;34;2599;16788
580;31;2304;17085
614;29;2024;17333
649;20;1786;17545
674;20;1584;17722
698;16;1389;17897
723;12;1233;18032
768;12;1069;18151
804;13;951;18232
851;16;836;18297
899;16;741;18344
942;19;649;18390
998;15;562;18425
1048;13;484;18455
1092;11;445;18452
1151;10;409;18430
1212;8;372;18408
1263;8;338;18391
1298;9;316;18377
1347;8;294;18351
1382;9;276;18333
1431;7;243;18319
1483;8;218;18291
1531;8;198;18263
1589;5;171;18235
1636;3;161;18200
1695;3;149;18153
1742;4;145;18109
1790;2;144;18064
1830;2;134;18034
1875;3;115;18007
1940;3;106;17951
2002;4;97;17897
2055;3;83;17859
2118;3;77;17802
2185;3;63;17749
2260;2;57;17681
2306;2;55;17637
2360;2;54;17584
2411;1;42;17546
2459;0;37;17504
2506;2;37;17455
2568;2;34;17396
2619;2;37;17342
2661;2;32;17305
2708;3;29;17260
2763;2;25;17210
2815;1;25;17159
2869;1;20;17110
2926;1;19;17054
2979;0;18;17003
3035;0;15;16950
3080;1;16;16903
3128;1;14;16857
3189;1;13;16797
3248;0;13;16739
3289;0;15;16696
3336;0;14;16650
3386;0;15;16599
3433;0;17;16550
3468;0;17;16515
3517;0;14;16469
3576;0;15;16409
3626;0;13;16361
3662;0;13;16325
3697;0;13;16290
3742;0;12;16246
3794;1;12;16193
3846;2;11;16141
3886;1;14;16099
3927;1;15;16057
3984;1;15;16000
4029;1;19;15951
4077;0;18;15905
4121;0;18;15861
4168;0;17;15815
4213;0;13;15774
4244;0;10;15746
4287;0;14;15699
4326;0;13;15661
4365;1;14;15620
4410;0;14;15576
4454;0;10;15536
4488;0;11;15501
4539;0;13;15448
4579;0;14;15407
4625;0;12;15363
4676;0;13;15311
4729;0;11;15260
4777;0;11;15212
4814;1;10;15175
4861;1;10;15128
4886;1;14;15099
4926;1;13;15060
4975;1;11;15013
5016;1;10;14973
5043;1;10;14946
5085;0;21;14894
5110;0;23;14867
5146;0;23;14831
5196;1;25;14778
5237;1;24;14738
5271;0;26;14703
5315;0;28;14657
5351;0;33;14616
5383;0;36;14581
5409;0;41;14550
5439;0;46;14515
5469;0;46;14485
5495;0;48;14457
5518;0;48;14434
5545;0;60;14395
5571;0;72;14357
5592;0;81;14327
5608;1;78;14313
5640;1;81;14278
5675;1;83;14241
5690;1;93;14216
5710;2;99;14189
5738;2;100;14160
5762;1;111;14126
5772;0;122;14106
5779;0;126;14095
5794;0;123;14083
5799;0;137;14064
5802;2;149;14047
5816;3;158;14023
5825;3;164;14008
5831;5;179;13985
5833;4;196;13967
5833;4;208;13955
5829;2;229;13940
5822;2;237;13939
5821;1;250;13928
5808;2;261;13929
5803;4;266;13927
5764;3;297;13936
5735;2;314;13949
5696;2;343;13959
5669;2;369;13960
5631;1;388;13980
5597;3;403;13997
5563;3;410;14024
5518;6;419;14057
5481;4;433;14082
5439;4;455;14102
5402;3;469;14126
5368;4;477;14151
5317;5;502;14176
5258;5;514;14223
5198;9;531;14262
5156;10;540;14294
5104;8;552;14336
5068;9;551;14372
5022;10;558;14410
4943;9;568;14480
4899;11;574;14516
4843;13;572;14572
4783;13;581;14623
4742;12;587;14659
4701;11;612;14676
4626;12;638;14724
4571;10;638;14781
4519;11;640;14830
4477;8;654;14861
4428;11;669;14892
4370;11;681;14938
4308;10;681;15001
4288;10;668;15034
4217;9;691;15083
4145;10;696;15149
4100;14;697;15189
4059;14;697;15230
4014;13;691;15282
3982;14;683;15321
3935;17;686;15362
3906;16;668;15410
3863;13;682;15442
3846;10;665;15479
3822;11;652;15515
3810;7;640;15543
3774;10;634;15582
3743;10;629;15618
3735;10;612;15643
3737;9;602;15652
3734;10;597;15659
3719;9;596;15676
3730;11;571;15688
3735;11;553;15701
3711;10;565;15714
3702;9;528;15761
3692;9;530;15769
3702;9;508;15781
3727;5;504;15764
3722;5;505;15768
3741;7;486;15766
3749;7;491;15753
3762;9;474;15755
3763;10;477;15750
3772;8;457;15763
3808;10;456;15726
3828;6;435;15731
3829;8;443;15720
3836;9;458;15697
3824;7;481;15688
3824;7;478;15691
3817;7;505;15671
3808;8;503;15681
3826;10;490;15674
3826;13;478;15683
3838;12;452;15698
3855;10;438;15697
3872;10;428;15690
3879;10;431;15680
3902;7;430;15661
3936;9;422;15633
3953;10;417;15620
3979;10;404;15607
3990;9;409;15592
4018;11;409;15562
4041;10;401;15548
4075;9;393;15523
4100;7;387;15506
4123;9;395;15473
4143;7;394;15456
4157;6;409;15428
4184;4;398;15414
4221;3;394;15382
4248;3;393;15356
4260;7;389;15344
4290;8;374;15328
4319;11;381;15289
4344;9;392;15255
4380;8;374;15238
4378;6;401;15215
4413;8;392;15187
4426;7;401;15166
4432;7;414;15147
4435;9;431;15125
4431;8;429;15132
4446;12;428;15114
4473;12;426;15089
4502;11;413;15074
4518;12;408;15062
4517;9;425;15049
4523;8;435;15034
4522;10;455;15013
4541;7;462;14990
4575;10;440;14975
4581;8;446;14965
4585;5;460;14950
4577;4;457;14962
4575;6;469;14950
4587;11;471;14931
4603;11;471;14915
4600;13;473;14914
4589;14;489;14908
4588;13;495;14904
4590;14;506;14890
4565;16;542;14877
4537;19;565;14879
4541;22;572;14865
4541;14;584;14861
4512;15;601;14872
4489;16;598;14897
4482;18;592;14908
4470;17;595;14918
4478;15;606;14901
4460;13;645;14882
4429;11;653;14907
4383;8;672;14937
4358;9;665;14968
4333;13;665;14989
4344;12;680;14964
4338;14;697;14951
4317;12;728;14943
4304;12;719;14965
4282;13;732;14973
4244;16;741;14999
4224;19;732;15025
4192;24;741;15043
4188;18;727;15067
4160;15;716;15109
4156;20;688;15136
4155;13;684;15148
4152;7;689;15152
4127;12;661;15200
4120;10;685;15185
4116;9;676;15199
4112;7;677;15204
4114;10;666;15210
4113;11;683;15193
4078;9;703;15210
4061;10;706;15223
4047;11;701;15241
4036;14;705;15245
4027;13;713;15247
4001;18;704;15277
3950;20;698;15332
3926;23;706;15345
3929;22;709;15340
3916;18;704;15362
3906;17;701;15376
3890;22;710;15378
3867;26;712;15395
3827;23;715;15435
3806;26;701;15467
3799;19;680;15502
3804;17;671;15508
3800;14;678;15508
3801;12;674;15513
3819;11;633;15537
3840;6;629;15525
3825;6;626;15543
3818;8;612;15562
3814;9;603;15574
3811;11;571;15607
3833;14;559;15594
3846;17;554;15583
3857;16;540;15587
3882;17;532;15569
3915;11;535;15539
3943;11;519;15527
3952;14;528;15506
3967;12;533;15488
3985;8;555;15452
3988;7;555;15450
3996;9;547;15448
3997;13;541;15449
3999;10;533;15458
4019;7;531;15443
4025;8;525;15442
4042;6;510;15442
4040;10;506;15444
4077;12;514;15397
4095;11;517;15377
4114;13;519;15354
4130;10;529;15331
4168;7;537;15288
4186;8;538;15268
4189;9;547;15255
4207;10;529;15254
4217;12;520;15251
4217;12;505;15266
4231;12;499;15258
4248;11;497;15244
4256;9;504;15231
4241;12;531;15216
4259;14;525;15202
4281;13;522;15184
4303;11;533;15153
4283;11;545;15161
4280;10;543;15167
4269;12;567;15152
4288;12;542;15158
4284;12;540;15164
4304;10;533;15153
4303;10;547;15140
4339;11;536;15114
4375;8;503;15114
4398;9;506;15087
4418;7;531;15044
4437;9;541;15013
4443;15;538;15004
4441;15;551;14993
4422;16;590;14972
4411;10;583;14996
4397;15;592;14996
4393;14;592;15001
4389;20;594;14997
4385;21;602;14992
4400;20;593;14987
4380;20;605;14995
4369;14;614;15003
4362;14;614;15010
4343;12;648;14997
4353;16;619;15012
4332;17;625;15026
4306;16;636;15042
4294;18;625;15063
4296;15;622;15067
4277;16;631;15076
4269;16;598;15117
4265;11;601;15123
4258;14;620;15108
4263;10;627;15100
4243;11;624;15122
4247;10;636;15107
4248;12;632;15108
4260;12;613;15115
4251;13;604;15132
4255;16;615;15114
4243;20;610;15127
4228;14;614;15144
4211;15;616;15158
4213;13;618;15156
4218;15;608;15159
4212;16;609;15163
4214;11;606;15169
4212;9;605;15174
4220;13;607;15160
4228;15;608;15149
4220;15;623;15142
4200;14;620;15166
4205;17;610;15168
4201;19;600;15180
4191;16;597;15196
4179;14;611;15196
4171;10;640;15179
4161;13;639;15187
4158;14;648;15180
4128;12;667;15193
4114;17;691;15178
4088;18;674;15220
4072;18;694;15216
4063;15;709;15213
4054;20;702;15224
4036;23;694;15247
4021;16;696;15267
4005;15;687;15293
3992;13;673;15322
3982;19;670;15329
3972;16;664;15348
3976;13;690;15321
3974;11;663;15352
3980;12;648;15360
3976;11;654;15359
3973;10;653;15364
3975;12;659;15354
3976;11;653;15360
3980;12;649;15359
3985;14;638;15363
3970;18;644;15368
3982;13;618;15387
3976;15;610;15399
3977;16;619;15388
3985;12;624;15379
3990;14;644;15352
4000;12;627;15361
4018;10;611;15361
4002;11;644;15343
3996;10;634;15360
3996;12;626;15366
3992;6;614;15388
3994;10;622;15374
4000;8;597;15395
4013;8;593;15386
4006;14;573;15407
4009;12;581;15398
4033;12;567;15388
4017;11;561;15411
4024;12;562;15402
4054;15;564;15367
4059;17;556;15368
4072;13;558;15357
4089;14;561;15336
4104;15;549;15332
4125;11;526;15338
4142;9;537;15312
4161;7;530;15302
4179;7;527;15287
4181;9;526;15284
4200;10;500;15290
4216;8;504;15272
4228;6;513;15253
4249;7;498;15246
4250;7;512;15231
4256;8;510;15226
4261;8;505;15226
4263;9;515;15213
4281;6;513;15200
4299;7;513;15181
4320;6;507;15167
4323;8;524;15145
4331;12;516;15141
4329;14;529;15128
4328;15;538;15119
4339;18;539;15104
4338;20;545;15097
4360;13;551;15076
4374;14;559;15053
4352;17;570;15061
4355;15;572;15058
4352;13;596;15039
4325;16;604;15055
4291;12;612;15085
4303;13;607;15077
4318;11;614;15057
4291;11;650;15048
4283;13;660;15044
4267;17;670;15046
4238;20;665;15077
4226;23;660;15091
4207;18;682;15093
4192;16;688;15104
4173;14;695;15118
4157;15;700;15128
4129;19;683;15169
4127;20;683;15170
4124;13;687;15176
4085;17;691;15207
4066;22;695;15217
4066;18;702;15214
4039;23;698;15240
4054;16;698;15232
4036;15;699;15250
4031;12;683;15274
4033;12;677;15278
4051;10;664;15275
4059;11;673;15257
4041;11;669;15279
4046;14;648;15292
4045;15;676;15264
4050;16;673;15261
4024;15;689;15272
4013;20;681;15286
4004;26;667;15303
3976;24;685;15315
3979;20;691;15310
4003;17;682;15298
3971;20;678;15331
3964;25;675;15336
3962;26;678;15334
3970;16;673;15341
3982;17;635;15366
3966;21;640;15373
3966;19;628;15387
3951;20;648;15381
3959;15;654;15372
3964;12;636;15388
3988;13;641;15358
4014;11;629;15346
4003;14;629;15354
4005;14;635;15346
4001;18;625;15356
3994;16;628;15362
3978;17;639;15366
3963;15;658;15364
3957;17;677;15349
3955;15;680;15350
3972;19;676;15333
3950;18;710;15322
3954;21;699;15326
3943;21;719;15317
3932;23;710;15335
3927;22;702;15349
3910;18;708;15364
3890;18;731;15361
3885;19;713;15383
3896;18;698;15388
3918;17;706;15359
3911;17;710;15362
3921;18;713;15348
3940;19;675;15366
3920;17;705;15358
3895;17;718;15370
3869;14;738;15379
3846;18;741;15395
3838;19;730;15413
3804;19;726;15451
3785;14;740;15461
3775;21;727;15477
3777;19;729;15475
3789;14;697;15500
3766;14;692;15528
3782;18;683;15517
3774;17;671;15538
3780;21;662;15537
3788;17;659;15536
3799;18;654;15529
3820;14;665;15501
3826;15;681;15478
3834;13;647;15506
3822;14;633;15531
3830;13;622;15535
3860;12;593;15535
3877;14;606;15503
3891;10;600;15499
3911;6;596;15487
3944;10;578;15468
3935;12;577;15476
3960;10;574;15456
3973;10;549;15468
3995;18;523;15464
4000;13;523;15464
4003;13;539;15445
4035;9;519;15437
4073;11;523;15393
4084;10;546;15360
4101;8;536;15355
4111;11;542;15336
4153;12;537;15298
4184;12;527;15277
4206;11;524;15259
4218;14;527;15241
4240;12;554;15194
4258;10;558;15174
4247;8;576;15169
4260;9;594;15137
4263;7;596;15134
4278;6;583;15133
4290;9;580;15121
4291;12;583;15114
4301;8;580;15111
4317;13;571;15099
4334;14;573;15079
4354;14;572;15060
4346;19;581;15054
4336;14;604;15046
4332;14;599;15055
4328;14;595;15063
4317;15;596;15072
4329;12;587;15072
4331;10;602;15057
4304;12;618;15066
4325;13;609;15053
4339;22;619;15020
4351;20;617;15012
4314;22;633;15031
4301;23;636;15040
4298;23;650;15029
4310;19;641;15030
4296;14;660;15030
4278;15;668;15039
4247;17;664;15072
4232;19;662;15087
4252;13;646;15089
4237;7;651;15105
4220;8;661;15111
4183;11;652;15154
4187;11;633;15169
4157;13;634;15196
4179;18;596;15207
4186;17;612;15185
4195;15;609;15181
4194;16;616;15174
4193;17;615;15175
4182;14;617;15187
4182;15;624;15179
4163;15;629;15193
4138;19;637;15206
4130;22;654;15194
4131;15;638;15216
4120;17;651;15212
4098;21;678;15203
4093;18;674;15215
4082;19;657;15242
4096;14;651;15239
4071;11;663;15255
4094;13;654;15239
4066;11;668;15255
4037;11;675;15277
4038;10;661;15291
4027;14;647;15312
3998;17;641;15344
3998;15;607;15380
4020;11;613;15356
4019;9;617;15355
4011;16;628;15345
4015;17;627;15341
4016;19;592;15373
4047;18;580;15355
4025;21;594;15360
4031;20;601;15348
4026;16;588;15370
4027;18;580;15375
4037;16;587;15360
4024;17;626;15333
4015;16;646;15323
4000;17;640;15343
3985;13;661;15341
3985;18;651;15346
3985;10;641;15364
3995;9;619;15377
4001;14;623;15362
4012;12;634;15342
4024;16;617;15343
4019;13;613;15355
4027;10;622;15341
4011;7;625;15357
4020;6;619;15355
4055;5;612;15328
4067;10;598;15325
4096;13;592;15299
4065;11;613;15311
4075;14;603;15308
4097;17;598;15288
4114;23;571;15292
4125;18;555;15302
4151;16;553;15280
4145;19;577;15259
4144;17;583;15256
4152;14;597;15237
4136;15;606;15243
4160;15;578;15247
4154;17;577;15252
4165;16;573;15246
4180;13;591;15216
4174;17;593;15216
