Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19968;6;21;5
19945;12;36;7
19910;19;60;11
19852;26;97;25
19761;35;162;42
19606;42;279;73
19377;43;452;128
18959;52;778;211
18176;60;1387;377
16873;63;2414;650
14931;72;3879;1118
12394;86;5644;1876
9591;92;7458;2859
6898;87;8834;4181
4834;78;9460;5628
3377;73;9502;7048
2350;69;9165;8416
1714;54;8479;9753
1235;52;7832;10881
958;42;7069;11931
793;45;6324;12838
676;42;5668;13614
610;41;5010;14339
555;38;4385;15022
534;33;3893;15540
503;35;3415;16047
498;34;3017;16451
520;36;2647;16797
518;31;2351;17100
550;28;2047;17375
596;23;1789;17592
618;19;1582;17781
647;23;1406;17924
695;21;1245;18039
742;22;1105;18131
783;16;995;18206
816;15;877;18292
855;13;762;18370
893;12;656;18439
945;12;587;18456
986;9;529;18476
1031;6;480;18483
1072;5;424;18499
1128;6;376;18490
1183;4;350;18463
1239;2;321;18438
1303;1;282;18414
1352;2;251;18395
1411;2;220;18367
1474;3;198;18325
1513;2;193;18292
1576;2;161;18261
1651;2;146;18201
1707;2;131;18160
1763;0;122;18115
1827;1;99;18073
1879;1;94;18026
1947;0;83;17970
1993;1;83;17923
2041;2;80;17877
2096;3;73;17828
2151;3;69;17777
2202;1;69;17728
2252;0;66;17682
2292;0;59;17649
2351;0;58;17591
2395;0;51;17554
2441;0;52;17507
2487;0;54;17459
2557;0;52;17391
2596;2;46;17356
2653;0;45;17302
2725;0;40;17235
2771;0;43;17186
2809;0;35;17156
2844;0;32;17124
2896;0;33;17071
2933;0;31;17036
2975;0;35;16990
3016;0;40;16944
3082;0;36;16882
3121;0;33;16846
3165;0;30;16805
3215;1;27;16757
3280;1;21;16698
3317;0;22;16661
3356;0;22;16622
3407;0;17;16576
3454;0;18;16528
3498;0;18;16484
3556;0;16;16428
3607;0;16;16377
3654;0;17;16329
3690;1;15;16294
3735;0;17;16248
3791;0;16;16193
3841;0;12;16147
3888;0;13;16099
3937;0;12;16051
3981;0;12;16007
4031;0;10;15959
4080;0;11;15909
4116;0;9;15875
4159;0;8;15833
4201;0;8;15791
4245;1;8;15746
4289;1;9;15701
4333;1;7;15659
4378;0;8;15614
4429;0;9;15562
4479;0;10;15511
4519;0;7;15474
4567;0;7;15426
4610;0;5;15385
4651;0;7;15342
4702;0;7;15291
4747;0;9;15244
4788;0;10;15202
4836;0;10;15154
4874;0;10;15116
4918;0;7;15075
4967;0;7;15026
5010;0;7;14983
5056;0;10;14934
5087;0;12;14901
5123;0;14;14863
5167;0;14;14819
5203;1;15;14781
5238;1;14;14747
5277;1;14;14708
5314;1;13;14672
5348;0;17;14635
5381;0;16;14603
5413;0;15;14572
5458;0;19;14523
5485;1;21;14493
5519;1;24;14456
5565;1;28;14406
5603;1;28;14368
5640;1;24;14335
5669;0;29;14302
5690;0;38;14272
5732;0;34;14234
5765;0;33;14202
5801;0;36;14163
5819;0;46;14135
5833;0;50;14117
5854;0;53;14093
5873;1;58;14068
5899;1;58;14042
5936;0;54;14010
5969;0;64;13967
5980;0;86;13934
5997;0;94;13909
5996;0;114;13890
6014;0;111;13875
6019;0;120;13861
6025;1;125;13849
6025;1;133;13841
6037;1;136;13826
6040;1;151;13808
6041;1;166;13792
6039;1;185;13775
6031;1;209;13759
6019;3;212;13766
6022;4;223;13751
5985;3;264;13748
5983;2;263;13752
5958;3;268;13771
5939;1;300;13760
5917;2;317;13764
5887;4;332;13777
5875;5;337;13783
5849;4;345;13802
5804;4;381;13811
5790;3;390;13817
5752;4;409;13835
5710;4;413;13873
5654;4;441;13901
5625;4;450;13921
5584;4;484;13928
5517;2;527;13954
5427;4;583;13986
5366;5;605;14024
5285;5;655;14055
5202;6;683;14109
5128;9;688;14175
5048;6;730;14216
4972;8;737;14283
4896;10;774;14320
4812;14;793;14381
4727;14;831;14428
4599;13;875;14513
4521;12;882;14585
4441;13;880;14666
4340;12;886;14762
4245;11;906;14838
4155;12;903;14930
4080;10;928;14982
3991;7;939;15063
3883;8;962;15147
3817;11;939;15233
3732;12;941;15315
3664;12;941;15383
3616;12;921;15451
3542;12;922;15524
3488;10;895;15607
3447;11;885;15657
3421;8;859;15712
3389;11;810;15790
3319;12;806;15863
3286;14;777;15923
3253;16;744;15987
3254;12;712;16022
3248;19;698;16035
3241;15;692;16052
3270;16;649;16065
3248;13;640;16099
3261;13;602;16124
3265;15;572;16148
3258;17;563;16162
3259;12;569;16160
3269;10;546;16175
3275;6;520;16199
3275;6;518;16201
3288;8;508;16196
3311;11;497;16181
3322;12;473;16193
3345;11;464;16180
3384;9;437;16170
3403;13;438;16146
3438;12;408;16142
3456;8;398;16138
3506;5;393;16096
3532;8;390;16070
3543;7;396;16054
3562;7;394;16037
3591;6;396;16007
3636;9;386;15969
3673;10;367;15950
3708;9;382;15901
3754;7;368;15871
3793;9;359;15839
3827;10;354;15809
3845;9;363;15783
3868;9;387;15736
3904;9;372;15715
3924;10;399;15667
3953;9;410;15628
3949;12;427;15612
3964;10;434;15592
3968;11;444;15577
3969;12;436;15583
4000;12;423;15565
4012;15;438;15535
4034;14;433;15519
4041;12;449;15498
4067;12;439;15482
4087;10;421;15482
4088;9;420;15483
4132;7;404;15457
4161;9;398;15432
4185;7;403;15405
4222;6;405;15367
4252;7;385;15356
4275;5;399;15321
4285;4;393;15318
4302;5;398;15295
4334;8;396;15262
4352;11;392;15245
4383;12;392;15213
4384;11;395;15210
4414;8;425;15153
4431;9;412;15148
4473;11;408;15108
4490;9;423;15078
4499;13;435;15053
4503;15;463;15019
4494;15;478;15013
4484;12;481;15023
4492;9;487;15012
4488;12;508;14992
4488;12;496;15004
4485;9;525;14981
4469;12;522;14997
4467;12;526;14995
4482;12;505;15001
4487;10;513;14990
4494;7;536;14963
4503;5;535;14957
4492;9;549;14950
4459;12;574;14955
4437;12;581;14970
4437;10;615;14938
4417;14;633;14936
4397;18;637;14948
4377;21;622;14980
4338;22;647;14993
4313;19;667;15001
4320;21;664;14995
4326;19;659;14996
4345;16;653;14986
4319;20;670;14991
4277;20;682;15021
4261;22;679;15038
4226;22;693;15059
4212;20;706;15062
4177;13;709;15101
4150;16;715;15119
