Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19965;8;21;6
19947;19;24;10
19925;17;42;16
19892;12;71;25
19845;12;104;39
19763;11;163;63
19622;22;266;90
19414;33;418;135
19091;35;652;222
18615;44;1004;337
17886;44;1542;528
16800;47;2309;844
15359;52;3306;1283
13462;47;4606;1885
11280;49;5964;2707
8946;40;7231;3783
6729;35;8284;4952
4925;29;8760;6286
3536;27;8814;7623
2503;27;8566;8904
1758;30;8045;10167
1320;33;7315;11332
1027;37;6606;12330
856;26;5901;13217
719;22;5275;13984
640;23;4720;14617
593;31;4182;15194
571;29;3697;15703
560;28;3277;16135
526;29;2910;16535
525;28;2574;16873
543;27;2255;17175
572;22;1957;17449
607;20;1725;17648
617;21;1504;17858
635;18;1330;18017
657;20;1156;18167
690;14;1032;18264
740;15;918;18327
793;14;817;18376
834;15;710;18441
874;12;619;18495
926;10;565;18499
964;10;512;18514
1010;15;452;18523
1056;14;410;18520
1105;13;351;18531
1153;12;319;18516
1217;6;286;18491
1271;6;259;18464
1312;5;239;18444
1366;7;210;18417
1417;7;192;18384
1478;5;177;18340
1534;6;161;18299
1579;6;146;18269
1622;7;134;18237
1677;7;118;18198
1736;5;110;18149
1787;5;106;18102
1833;4;90;18073
1891;3;88;18018
1938;2;79;17981
1991;0;74;17935
2042;0;64;17894
2095;1;54;17850
2165;1;52;17782
2228;1;45;17726
2291;1;36;17672
2343;2;37;17618
2387;1;36;17576
2439;1;32;17528
2498;1;27;17474
2539;0;26;17435
2599;0;22;17379
2645;0;19;17336
2707;0;18;17275
2759;0;15;17226
2808;0;14;17178
2869;0;14;17117
2922;0;12;17066
2975;0;11;17014
3019;0;11;16970
3062;0;12;16926
3114;0;15;16871
3171;0;12;16817
3217;0;15;16768
3261;0;10;16729
3306;0;9;16685
3375;0;7;16618
3416;0;8;16576
3462;0;10;16528
3513;0;11;16476
3566;1;8;16425
3618;0;11;16371
3665;0;10;16325
3715;0;12;16273
3759;0;8;16233
3803;0;9;16188
3847;0;7;16146
3882;0;7;16111
3924;0;6;16070
3969;0;5;16026
4008;0;7;15985
4050;0;9;15941
4095;0;9;15896
4127;0;8;15865
4170;0;8;15822
4228;0;6;15766
4266;0;5;15729
4310;0;6;15684
4356;0;7;15637
4394;0;8;15598
4430;0;9;15561
4481;0;8;15511
4524;0;7;15469
4561;0;12;15427
4597;0;13;15390
4643;0;10;15347
4690;0;11;15299
4735;0;11;15254
4776;0;11;15213
4811;0;13;15176
4846;0;12;15142
4892;0;14;15094
4931;0;14;15055
4961;0;12;15027
5011;0;11;14978
5061;0;13;14926
5107;0;17;14876
