Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19962;12;21;5
19952;17;18;13
19941;12;29;18
19917;14;48;21
19869;16;84;31
19785;21;153;41
19611;29;298;62
19328;33;509;130
18781;34;964;221
17878;38;1672;412
16473;48;2706;773
14360;51;4308;1281
11675;57;6193;2075
8822;67;7880;3231
6374;58;8925;4643
4416;48;9409;6127
3142;40;9220;7598
2293;36;8794;8877
1662;35;8239;10064
1257;34;7487;11222
978;34;6779;12209
776;36;6099;13089
658;34;5453;13855
601;30;4782;14587
569;28;4188;15215
568;25;3648;15759
552;29;3228;16191
550;25;2834;16591
585;22;2486;16907
598;22;2205;17175
624;21;1962;17393
641;24;1742;17593
673;22;1534;17771
704;24;1358;17914
739;26;1209;18026
766;20;1060;18154
812;18;934;18236
876;17;838;18269
915;18;736;18331
959;17;639;18385
1016;14;570;18400
1054;11;518;18417
1108;7;458;18427
1154;8;416;18422
1196;7;365;18432
1242;9;323;18426
1290;13;280;18417
1344;11;252;18393
1404;10;221;18365
1450;7;201;18342
1507;4;181;18308
1565;2;154;18279
1629;1;135;18235
1682;2;123;18193
1736;2;117;18145
1799;1;113;18087
1863;2;111;18024
1921;3;108;17968
1971;4;97;17928
2017;4;84;17895
2068;2;74;17856
2124;3;70;17803
2177;2;57;17764
2226;1;52;17721
2280;0;51;17669
2347;1;42;17610
2393;1;42;17564
2442;1;36;17521
2489;2;33;17476
2535;1;27;17437
2590;1;23;17386
2653;1;24;17322
2702;1;23;17274
2736;1;23;17240
2793;1;21;17185
2845;1;15;17139
2901;1;13;17085
2951;0;14;17035
3005;0;13;16982
3060;0;11;16929
3118;0;11;16871
3176;0;14;16810
3237;0;15;16748
3282;0;14;16704
3334;0;10;16656
3381;0;11;16608
3429;0;10;16561
3487;0;11;16502
3531;0;7;16462
3575;0;11;16414
3617;0;9;16374
3657;0;10;16333
3692;0;9;16299
3744;0;9;16247
3792;0;8;16200
3830;0;10;16160
3874;0;9;16117
3925;0;9;16066
3959;0;12;16029
3997;0;13;15990
4037;0;18;15945
4079;0;16;15905
4119;0;17;15864
4165;0;16;15819
4215;0;13;15772
4262;0;13;15725
4296;0;12;15692
4341;0;12;15647
4387;0;16;15597
4423;0;11;15566
4461;0;11;15528
4493;0;11;15496
4529;0;12;15459
4571;0;12;15417
4606;0;11;15383
4652;0;13;15335
4700;0;12;15288
4748;0;18;15234
4780;0;24;15196
4820;0;22;15158
4851;0;22;15127
4890;0;18;15092
4930;0;18;15052
4971;0;16;15013
5007;0;13;14980
