Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19964;11;18;7
19950;16;23;11
19934;15;37;14
19896;16;65;23
19850;14;100;36
19775;20;141;64
19661;21;224;94
19486;29;342;143
19246;29;520;205
18854;28;845;273
18221;28;1319;432
17295;34;1988;683
16035;40;2887;1038
14260;46;4150;1544
12140;37;5514;2309
9772;36;6947;3245
7485;34;8020;4461
5468;22;8717;5793
3931;26;8913;7130
2730;18;8759;8493
1953;18;8251;9778
1464;20;7530;10986
1115;18;6799;12068
917;24;6120;12939
760;21;5465;13754
668;26;4850;14456
621;27;4278;15074
576;33;3796;15595
535;33;3374;16058
538;30;2943;16489
551;35;2589;16825
563;35;2297;17105
575;33;2027;17365
594;28;1789;17589
631;26;1570;17773
657;21;1392;17930
704;14;1237;18045
745;14;1078;18163
794;16;955;18235
858;13;827;18302
909;12;723;18356
944;18;649;18389
997;17;565;18421
1047;16;509;18428
1096;12;452;18440
1144;7;400;18449
1208;7;346;18439
1278;6;309;18407
1332;6;274;18388
1375;5;257;18363
1445;6;239;18310
1490;7;219;18284
1530;9;199;18262
1594;9;179;18218
1651;7;161;18181
1718;6;135;18141
1762;7;125;18106
1815;5;119;18061
1866;3;116;18015
1898;3;110;17989
1949;2;99;17950
2010;2;90;17898
2061;3;76;17860
2107;3;70;17820
2142;3;64;17791
2192;3;59;17746
2249;2;55;17694
2304;1;52;17643
2356;0;52;17592
2402;0;49;17549
2443;0;50;17507
2501;0;43;17456
2547;0;47;17406
2604;0;45;17351
2650;0;39;17311
2688;0;36;17276
2743;0;34;17223
2779;0;32;17189
2824;0;33;17143
2879;0;33;17088
2936;0;29;17035
2979;0;25;16996
3020;0;24;16956
3067;0;24;16909
3120;0;24;16856
3181;0;26;16793
3232;0;31;16737
3280;0;28;16692
3320;0;26;16654
3370;0;29;16601
3403;0;27;16570
3464;0;28;16508
3520;0;26;16454
3560;0;27;16413
3616;0;28;16356
3667;0;25;16308
3720;0;22;16258
3759;0;21;16220
3791;0;21;16188
3842;0;18;16140
3886;0;19;16095
3924;0;20;16056
3970;0;19;16011
4021;0;18;15961
4061;0;20;15919
4101;0;22;15877
4133;0;24;15843
4167;0;28;15805
4192;0;28;15780
4236;0;27;15737
4277;0;23;15700
4318;0;21;15661
4356;0;27;15617
4397;0;33;15570
4439;0;32;15529
4478;0;31;15491
4513;1;31;15455
4565;1;35;15399
4612;1;34;15353
4651;1;34;15314
4678;0;42;15280
4727;0;41;15232
4772;0;44;15184
4801;0;45;15154
4831;0;49;15120
4867;0;50;15083
4895;0;53;15052
4927;0;50;15023
4960;0;48;14992
4994;0;45;14961
5043;0;47;14910
5072;0;49;14879
5101;0;52;14847
5126;0;59;14815
5150;0;62;14788
5174;0;70;14756
5204;0;71;14725
5233;0;75;14692
5259;1;77;14663
5294;0;72;14634
5315;0;71;14614
5349;1;78;14572
5383;0;79;14538
5418;1;81;14500
5447;2;79;14472
5469;2;87;14442
5495;2;107;14396
5515;2;112;14371
5534;2;123;14341
5555;2;118;14325
5575;3;119;14303
5602;3;118;14277
5621;2;129;14248
5635;3;128;14234
5637;2;148;14213
5653;1;169;14177
5681;0;172;14147
5682;1;192;14125
5678;2;200;14120
5687;1;215;14097
5678;1;228;14093
5679;0;241;14080
5657;0;261;14082
