Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19973;2;17;8
19961;7;21;11
19952;3;32;13
19921;7;54;18
19871;6;96;27
19785;7;167;41
19625;19;282;74
19310;24;538;128
18742;35;985;238
17831;50;1672;447
16360;69;2805;766
14236;86;4406;1272
11491;95;6346;2068
8765;80;7982;3173
6285;77;9071;4567
4364;60;9537;6039
3024;51;9382;7543
2128;41;8920;8911
1571;29;8128;10272
1180;28;7373;11419
942;27;6594;12437
808;29;5845;13318
696;23;5242;14039
626;25;4603;14746
581;21;4111;15287
557;29;3627;15787
546;29;3233;16192
557;26;2821;16596
559;29;2460;16952
568;32;2134;17266
609;28;1862;17501
636;31;1643;17690
686;26;1452;17836
713;19;1263;18005
746;20;1091;18143
779;22;957;18242
808;20;860;18312
849;14;766;18371
899;14;655;18432
953;10;581;18456
990;11;508;18491
1037;12;447;18504
1110;12;395;18483
1158;9;352;18481
1186;9;319;18486
1243;10;286;18461
1301;5;263;18431
1361;5;236;18398
1427;4;216;18353
1489;3;185;18323
1535;4;164;18297
1583;5;154;18258
1638;7;139;18216
1695;4;127;18174
1757;4;112;18127
1812;4;101;18083
1858;3;90;18049
1916;2;87;17995
1967;1;77;17955
2005;2;64;17929
2050;1;54;17895
2111;1;49;17839
2172;1;41;17786
2226;1;36;17737
2283;1;33;17683
2346;1;29;17624
2409;2;23;17566
2450;0;27;17523
2491;0;29;17480
2536;0;29;17435
2588;0;31;17381
2639;0;30;17331
2686;0;27;17287
2737;0;25;17238
2798;0;21;17181
2851;0;18;17131
2913;0;16;17071
2964;0;14;17022
3010;0;13;16977
3059;0;15;16926
3107;0;15;16878
3155;0;15;16830
3207;0;13;16780
3239;1;16;16744
3282;1;11;16706
3331;0;13;16656
3384;0;9;16607
3428;0;10;16562
3474;0;10;16516
3519;0;14;16467
3563;0;15;16422
3599;0;17;16384
3652;0;13;16335
3702;0;13;16285
3736;0;14;16250
3779;0;14;16207
3816;0;10;16174
3847;0;10;16143
3884;0;9;16107
3927;0;7;16066
3971;0;6;16023
4007;0;6;15987
4049;0;7;15944
4094;0;10;15896
