Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19965;10;18;7
19951;10;27;12
19930;17;36;17
19903;24;48;25
19864;13;90;33
19796;23;134;47
19701;20;199;80
19544;21;324;111
19317;25;488;170
18931;27;781;261
18387;30;1171;412
17543;28;1806;623
16375;33;2626;966
14807;30;3727;1436
12729;37;5123;2111
10422;36;6504;3038
8057;31;7783;4129
5976;29;8578;5417
4297;31;8928;6744
3026;28;8878;8068
2216;22;8371;9391
1588;22;7836;10554
1207;22;7080;11691
949;23;6397;12631
804;25;5661;13510
689;28;5045;14238
611;25;4477;14887
559;23;3945;15473
535;25;3458;15982
516;30;3057;16397
517;35;2707;16741
539;31;2375;17055
578;27;2097;17298
608;26;1849;17517
627;29;1644;17700
682;27;1448;17843
693;20;1279;18008
725;22;1147;18106
745;21;1030;18204
786;16;895;18303
846;17;808;18329
890;11;733;18366
929;12;652;18407
969;16;584;18431
1050;13;494;18443
1098;11;434;18457
1172;9;387;18432
1218;10;345;18427
1269;6;312;18413
1333;6;279;18382
1372;7;252;18369
1420;9;222;18349
1488;10;196;18306
1556;7;169;18268
1609;5;151;18235
1669;5;143;18183
1729;5;130;18136
1790;7;109;18094
1849;5;98;18048
1901;4;94;18001
1950;3;94;17953
2004;3;82;17911
2056;2;85;17857
2095;2;88;17815
2146;2;82;17770
2190;1;76;17733
2244;1;61;17694
2278;0;58;17664
2336;0;56;17608
2378;0;49;17573
2441;0;47;17512
2480;0;44;17476
2519;0;41;17440
2567;0;41;17392
2604;0;42;17354
2652;0;39;17309
2697;1;40;17262
2759;1;37;17203
2813;1;36;17150
2856;0;35;17109
2913;0;32;17055
2960;0;36;17004
3005;0;34;16961
3053;0;33;16914
3093;0;27;16880
3134;0;26;16840
3168;0;22;16810
3229;0;17;16754
3283;0;15;16702
3326;0;13;16661
3366;0;14;16620
3403;0;16;16581
3448;0;12;16540
3501;0;13;16486
3541;0;11;16448
3587;1;12;16400
3644;1;11;16344
3692;0;12;16296
3739;0;11;16250
3787;0;11;16202
3826;0;11;16163
3879;0;10;16111
3922;0;8;16070
3962;0;8;16030
3997;0;9;15994
4031;0;5;15964
4085;0;5;15910
4139;0;5;15856
4193;0;7;15800
4243;0;9;15748
4300;0;10;15690
4336;0;10;15654
4375;0;11;15614
4425;0;12;15563
4471;0;14;15515
4502;1;16;15481
4548;1;12;15439
4608;0;12;15380
4658;0;14;15328
4701;0;14;15285
4746;0;10;15244
4786;0;13;15201
4828;0;12;15160
4873;0;15;15112
4914;0;15;15071
4956;0;12;15032
4998;0;9;14993
5041;0;9;14950
5080;0;11;14909
5121;0;11;14868
5166;0;8;14826
5215;0;8;14777
5259;0;5;14736
5297;0;6;14697
5336;0;6;14658
5385;0;6;14609
5422;0;5;14573
5460;0;5;14535
5512;0;6;14482
5543;0;7;14450
5593;0;4;14403
5626;0;5;14369
5655;0;7;14338
5697;0;7;14296
5738;0;9;14253
5782;0;8;14210
5815;0;7;14178
5852;0;7;14141
5889;0;9;14102
5929;0;9;14062
5959;0;10;14031
6004;0;10;13986
6048;0;11;13941
6087;1;11;13901
6123;1;11;13865
6164;1;11;13824
6200;1;11;13788
6244;0;13;13743
6279;0;14;13707
6322;0;17;13661
6358;1;15;13626
6405;1;16;13578
6440;1;18;13541
6477;1;18;13504
6523;1;17;13459
6555;1;18;13426
6586;1;15;13398
6629;2;15;13354
6667;1;16;13316
6703;0;16;13281
6730;0;23;13247
6761;0;25;13214
6799;0;25;13176
6832;0;24;13144
6859;0;27;13114
6888;0;26;13086
6918;0;32;13050
6956;0;33;13011
6982;0;38;12980
7006;0;44;12950
7011;0;54;12935
7032;0;59;12909
7040;0;68;12892
7053;0;69;12878
7076;0;77;12847
7099;0;79;12822
7091;0;98;12811
7102;1;106;12791
7117;0;113;12770
7119;0;131;12750
7109;1;144;12746
7110;2;146;12742
7109;2;153;12736
7101;2;163;12734
7085;2;193;12720
