Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19967;3;27;3
19951;7;33;9
19925;9;51;15
19882;16;72;30
19833;21;100;46
19751;21;168;60
19615;23;268;94
19399;28;433;140
19070;31;690;209
18548;45;1084;323
17767;37;1687;509
16660;38;2490;812
15178;44;3517;1261
13225;51;4848;1876
10969;45;6250;2736
8636;46;7504;3814
6412;42;8527;5019
4512;41;9095;6352
3129;38;9058;7775
2246;35;8613;9106
1678;30;7938;10354
1242;32;7270;11456
1008;27;6528;12437
816;30;5789;13365
733;30;5154;14083
633;28;4623;14716
602;22;4102;15274
569;23;3616;15792
549;24;3220;16207
553;22;2812;16613
556;23;2505;16916
559;21;2240;17180
585;17;2002;17396
606;23;1774;17597
623;22;1560;17795
643;26;1367;17964
676;21;1229;18074
706;22;1056;18216
753;21;949;18277
801;16;843;18340
843;10;751;18396
899;10;645;18446
951;8;569;18472
1009;9;500;18482
1069;9;438;18484
1124;9;400;18467
1174;8;366;18452
1231;9;320;18440
1288;3;300;18409
1336;4;265;18395
1381;6;240;18373
1424;6;207;18363
1483;5;189;18323
1548;3;168;18281
1607;1;149;18243
1671;1;135;18193
1734;0;129;18137
1788;2;113;18097
1844;2;105;18049
1898;2;94;18006
1965;1;87;17947
2023;1;85;17891
2074;1;76;17849
2124;1;78;17797
2180;1;71;17748
2223;1;68;17708
2269;1;63;17667
2322;1;59;17618
2368;0;58;17574
2416;0;52;17532
2472;0;52;17476
2522;0;50;17428
2571;0;50;17379
2623;0;44;17333
2676;3;48;17273
2718;0;52;17230
2765;0;53;17182
2818;0;51;17131
2860;0;52;17088
2905;0;48;17047
2950;1;39;17010
2994;0;41;16965
3051;0;36;16913
3100;0;31;16869
3148;0;26;16826
3201;0;25;16774
3255;0;28;16717
3312;0;27;16661
3361;0;23;16616
3404;0;20;16576
3451;0;17;16532
3491;0;17;16492
3534;0;12;16454
3577;0;14;16409
3631;0;13;16356
3669;0;14;16317
3715;0;17;16268
3769;0;15;16216
3819;0;20;16161
3856;0;24;16120
3898;0;28;16074
3927;0;28;16045
3974;0;28;15998
4013;0;26;15961
4064;0;24;15912
4113;0;26;15861
4132;0;37;15831
4159;0;34;15807
4209;0;36;15755
4239;0;39;15722
4280;0;39;15681
4337;0;42;15621
4362;0;49;15589
4397;1;50;15552
4435;1;46;15518
4480;2;48;15470
4518;1;51;15430
4541;0;57;15402
4568;0;62;15370
4601;0;56;15343
4636;0;62;15302
4679;0;57;15264
4711;0;65;15224
4744;0;68;15188
4760;0;71;15169
4797;0;71;15132
4826;0;70;15104
4850;1;69;15080
4886;1;79;15034
4913;1;80;15006
4945;1;81;14973
4960;1;99;14940
4982;0;107;14911
5009;1;105;14885
5023;0;112;14865
5032;0;128;14840
5047;2;128;14823
5069;3;132;14796
5070;2;153;14775
5085;2;152;14761
5106;1;152;14741
5121;1;151;14727
5134;0;154;14712
5158;1;154;14687
5180;1;161;14658
5205;1;163;14631
5207;1;171;14621
5230;1;181;14588
5243;1;183;14573
5258;1;181;14560
5260;2;195;14543
5242;3;211;14544
5244;4;205;14547
5254;3;211;14532
5258;1;217;14524
5263;1;223;14513
5276;2;227;14495
5279;1;224;14496
5283;1;230;14486
5265;3;252;14480
5273;6;263;14458
5275;5;271;14449
5272;3;287;14438
5257;2;309;14432
5229;3;328;14440
5210;3;343;14444
5177;4;358;14461
5143;1;387;14469
5110;0;404;14486
5088;0;403;14509
5068;1;408;14523
5029;1;422;14548
5004;0;435;14561
4980;0;450;14570
4951;2;469;14578
4904;1;490;14605
4863;3;502;14632
4819;4;517;14660
4791;4;520;14685
4741;3;534;14722
4697;5;551;14747
4633;3;581;14783
4612;3;596;14789
4585;4;593;14818
4543;2;593;14862
4496;5;608;14891
4441;8;603;14948
4406;9;596;14989
4355;8;607;15030
4312;9;600;15079
4271;6;607;15116
4253;7;596;15144
4202;6;613;15179
4139;6;636;15219
4138;5;626;15231
4107;10;630;15253
4085;11;618;15286
4056;12;623;15309
4045;12;593;15350
4038;12;584;15366
4016;12;577;15395
3995;11;572;15422
3985;7;572;15436
3976;5;567;15452
3952;7;543;15498
3919;10;561;15510
3908;11;539;15542
3910;9;526;15555
3902;10;514;15574
3894;9;522;15575
3891;6;519;15584
3890;8;501;15601
3873;10;504;15613
3867;13;505;15615
3862;13;496;15629
3873;13;496;15618
3879;12;478;15631
3886;11;495;15608
3886;12;498;15604
3870;9;505;15616
3866;9;497;15628
3881;6;497;15616
3901;5;487;15607
3924;4;487;15585
3932;4;500;15564
3912;9;502;15577
3923;5;491;15581
3926;5;514;15555
3920;6;522;15552
3928;8;508;15556
3946;8;504;15542
3948;4;506;15542
3949;5;496;15550
3946;5;503;15546
3974;11;510;15505
3978;10;512;15500
3975;10;513;15502
3985;11;506;15498
3989;8;497;15506
3993;9;489;15509
3995;6;492;15507
3987;6;507;15500
3991;9;482;15518
3991;8;486;15515
3997;6;482;15515
3989;4;486;15521
4003;6;489;15502
4001;8;484;15507
4015;8;489;15488
4029;7;487;15477
4054;6;475;15465
4078;8;463;15451
4103;11;446;15440
4114;8;443;15435
4130;8;435;15427
4172;4;424;15400
4183;5;411;15401
4193;5;423;15379
4196;5;439;15360
4203;8;449;15340
4234;11;413;15342
4231;12;429;15328
4242;9;426;15323
4281;9;427;15283
4300;10;430;15260
4307;9;448;15236
4310;6;446;15238
4314;4;464;15218
4314;3;464;15219
4335;5;463;15197
4340;7;475;15178
4342;9;468;15181
4370;7;462;15161
4367;11;486;15136
4372;10;489;15129
4381;9;492;15118
4391;10;479;15120
4374;14;474;15138
4379;12;477;15132
4352;15;492;15141
4368;14;496;15122
4372;14;505;15109
4363;13;523;15101
4343;10;549;15098
4340;12;548;15100
4343;15;548;15094
4344;11;566;15079
4350;8;547;15095
4355;9;558;15078
4330;9;560;15101
4316;11;580;15093
4302;10;582;15106
4308;10;575;15107
4312;7;563;15118
4316;9;560;15115
4325;9;558;15108
4309;10;566;15115
4294;15;569;15122
4298;12;552;15138
4297;13;563;15127
4284;14;577;15125
4299;13;586;15102
4285;15;602;15098
4265;20;605;15110
4253;20;627;15100
4256;17;636;15091
4235;19;649;15097
4219;18;650;15113
4217;18;661;15104
4192;14;675;15119
4163;17;685;15135
4161;14;705;15120
4148;15;706;15131
4125;18;716;15141
4117;17;710;15156
4088;17;727;15168
4077;15;735;15173
4059;17;754;15170
4017;17;767;15199
4003;12;764;15221
3983;11;746;15260
3966;10;765;15259
3908;13;785;15294
3897;13;739;15351
3885;13;741;15361
3883;11;726;15380
3870;14;714;15402
3848;16;689;15447
3844;15;682;15459
3856;14;674;15456
3849;15;660;15476
3850;15;652;15483
3838;13;672;15477
3832;8;669;15491
3835;12;675;15478
3824;10;685;15481
3803;14;685;15498
3801;17;664;15518
3793;16;668;15523
3803;15;664;15518
3797;12;651;15540
3806;14;635;15545
3806;14;636;15544
3802;16;610;15572
3833;13;587;15567
3843;19;583;15555
3858;13;581;15548
3874;16;591;15519
3889;18;601;15492
3882;14;592;15512
3899;14;575;15512
3932;11;565;15492
3934;19;562;15485
3942;18;554;15486
3958;15;545;15482
3958;16;557;15469
3956;18;546;15480
3951;18;555;15476
3967;18;546;15469
3990;19;551;15440
3987;18;554;15441
4009;13;556;15422
4024;12;568;15396
4033;8;552;15407
4050;8;546;15396
4076;9;523;15392
4073;14;537;15376
4097;10;527;15366
4107;9;530;15354
4117;9;548;15326
4118;11;565;15306
4139;11;542;15308
4164;9;534;15293
4173;8;536;15283
4173;7;541;15279
4159;9;555;15277
4156;10;574;15260
4175;10;549;15266
4173;13;547;15267
4180;11;560;15249
4200;10;555;15235
4180;14;552;15254
4183;13;553;15251
4200;13;547;15240
4218;15;542;15225
4221;17;532;15230
4224;15;530;15231
4233;14;523;15230
4228;13;526;15233
4232;14;534;15220
4234;12;555;15199
4242;16;542;15200
4258;19;542;15181
4278;17;551;15154
4264;16;585;15135
4283;13;579;15125
4289;14;576;15121
4275;18;589;15118
4271;18;593;15118
4286;13;603;15098
4298;15;608;15079
4300;15;607;15078
4284;12;645;15059
4284;13;650;15053
4299;9;634;15058
4318;14;619;15049
4284;16;627;15073
4273;17;635;15075
4257;14;662;15067
4247;18;659;15076
4240;15;651;15094
4242;15;647;15096
4204;16;660;15120
4184;15;671;15130
4170;13;683;15134
4159;14;691;15136
4140;14;679;15167
4122;16;687;15175
4101;10;678;15211
4093;9;678;15220
4080;14;700;15206
4088;16;668;15228
4094;17;660;15229
4074;20;668;15238
4069;19;650;15262
4043;17;652;15288
4036;12;664;15288
4028;11;664;15297
4004;11;673;15312
3976;17;700;15307
3972;19;674;15335
3960;11;703;15326
3931;14;711;15344
3937;15;703;15345
3943;16;702;15339
3907;17;724;15352
3907;16;717;15360
3914;17;700;15369
3910;13;714;15363
3905;15;718;15362
3865;15;704;15416
3860;14;703;15423
3850;13;704;15433
3844;11;690;15455
3864;13;666;15457
