Susceptible;Exposed;Infected;Recovered
19980;0;20;0
18;10169;9807;6
4;7221;10337;2438
19;5179;10663;4139
17;3732;10450;5801
30;2688;9934;7348
46;1956;9169;8829
44;1397;8442;10117
48;992;7629;11331
60;726;6842;12372
65;543;6102;13290
53;397;5431;14119
79;284;4798;14839
59;217;4284;15440
90;149;3744;16017
83;133;3297;16487
114;115;2921;16850
67;115;2553;17265
102;96;2253;17549
74;113;1997;17816
111;106;1768;18015
92;107;1598;18203
100;97;1456;18347
73;101;1311;18515
128;104;1157;18611
96;125;1060;18719
94;100;998;18808
92;109;894;18905
119;101;825;18955
81;111;779;19029
149;112;703;19036
89;135;686;19090
157;116;635;19092
121;135;648;19096
107;146;640;19107
75;151;610;19164
179;132;591;19098
81;174;625;19120
107;140;609;19144
100;147;568;19185
182;156;543;19119
85;184;597;19134
184;132;609;19075
60;167;604;19169
167;131;558;19144
145;178;575;19102
129;181;600;19090
61;172;607;19160
218;140;571;19071
105;196;623;19076
148;159;629;19064
126;154;646;19074
138;153;639;19070
65;185;603;19147
191;144;573;19092
110;197;578;19115
202;178;592;19028
119;211;653;19017
132;209;642;19017
70;193;653;19084
269;170;600;18961
85;237;700;18978
118;174;693;19015
144;172;667;19017
219;181;662;18938
114;219;699;18968
218;180;707;18895
70;227;725;18978
147;192;681;18980
105;207;677;19011
209;181;677;18933
73;213;718;18996
268;175;702;18855
91;260;760;18889
117;200;756;18927
173;190;732;18905
158;214;734;18894
117;214;744;18925
219;195;720;18866
80;228;752;18940
262;180;712;18846
173;248;774;18805
133;229;798;18840
53;195;788;18964
288;153;734;18825
126;226;824;18824
113;202;799;18886
131;173;767;18929
238;172;748;18842
67;253;734;18946
285;193;718;18804
148;276;778;18798
178;249;806;18767
114;248;806;18832
108;225;780;18887
99;190;784;18927
323;189;737;18751
101;290;806;18803
180;226;808;18786
162;236;815;18787
260;247;789;18704
91;268;865;18776
210;199;857;18734
67;230;849;18854
196;178;791;18835
228;228;803;18741
121;248;868;18763
51;226;826;18897
296;153;788;18763
80;268;831;18821
210;206;830;18754
122;226;856;18796
280;226;818;18676
78;285;872;18765
192;225;816;18767
126;261;808;18805
168;248;779;18805
150;260;806;18784
119;256;811;18814
106;239;762;18893
410;206;753;18631
137;351;893;18619
103;268;926;18703
99;223;902;18776
160;193;840;18807
123;202;810;18865
330;177;804;18689
81;265;879;18775
253;206;837;18704
123;258;863;18756
199;221;847;18733
71;242;857;18830
336;197;780;18687
143;315;870;18672
122;284;875;18719
221;254;868;18657
225;278;906;18591
72;285;957;18686
195;212;929;18664
48;239;909;18804
333;191;863;18613
161;287;946;18606
102;252;955;18691
116;215;892;18777
378;202;873;18547
168;331;978;18523
124;291;1012;18573
154;245;983;18618
173;231;961;18635
72;258;910;18760
342;207;857;18594
87;294;941;18678
204;207;906;18683
186;242;896;18676
257;262;890;18591
120;290;928;18662
339;262;922;18477
89;346;990;18575
108;260;978;18654
95;217;943;18745
335;202;887;18576
169;307;974;18550
269;262;1005;18464
74;329;1010;18587
164;236;969;18631
237;239;945;18579
103;272;956;18669
60;220;914;18806
424;165;879;18532
112;328;977;18583
235;253;951;18561
190;268;973;18569
135;284;961;18620
68;253;960;18719
219;189;901;18691
160;244;880;18716
321;237;888;18554
153;323;966;18558
99;275;979;18647
42;237;911;18810
463;171;857;18509
119;368;965;18548
231;286;980;18503
109;297;1013;18581
212;237;991;18560
120;272;984;18624
207;226;974;18593
132;242;1008;18618
164;222;960;18654
237;215;961;18587
224;247;982;18547
90;277;973;18660
397;207;960;18436
79;332;1047;18542
107;241;990;18662
227;209;942;18622
251;262;933;18554
71;302;964;18663
319;225;935;18521
85;322;961;18632
352;251;932;18465
148;327;1026;18499
94;270;1036;18600
127;223;976;18674
300;226;934;18540
131;313;994;18562
114;261;986;18639
157;216;956;18671
258;208;940;18594
151;295;908;18646
462;256;934;18348
104;401;1063;18432
148;293;1064;18495
113;248;1049;18590
76;218;1010;18696
91;189;940;18780
419;173;880;18528
164;354;947;18535
98;294;985;18623
109;249;912;18730
323;220;889;18568
147;312;936;18605
223;279;931;18567
64;303;959;18674
332;240;896;18532
296;335;985;18384
131;355;1058;18456
57;281;1056;18606
278;225;969;18528
72;305;978;18645
206;224;942;18628
257;238;952;18553
227;272;984;18517
66;301;975;18658
316;218;964;18502
138;323;980;18559
153;282;979;18586
103;272;959;18666
210;231;942;18617
67;267;937;18729
524;200;908;18368
145;413;1034;18408
180;288;1085;18447
181;262;1081;18476
144;259;1047;18550
153;236;1025;18586
209;216;982;18593
122;249;973;18656
219;228;925;18628
128;256;930;18686
217;213;925;18645
80;222;941;18757
468;175;887;18470
184;366;999;18451
111;322;1016;18551
213;255;1009;18523
285;290;1019;18406
84;324;1086;18506
178;253;1006;18563
118;250;995;18637
311;233;952;18504
213;324;1005;18458
112;309;1055;18524
51;259;996;18694
445;187;934;18434
138;378;1003;18481
260;314;1042;18384
115;346;1065;18474
143;275;1038;18544
56;255;1002;18687
398;197;923;18482
126;358;969;18547
245;267;1007;18481
264;317;1023;18396
125;319;1095;18461
171;248;1100;18481
314;252;1061;18373
69;331;1124;18476
84;237;1077;18602
149;195;1013;18643
439;206;986;18369
128;366;1071;18435
206;272;1097;18425
66;283;1078;18573
115;217;1015;18653
209;216;938;18637
240;253;938;18569
131;289;972;18608
495;249;936;18320
155;438;1070;18337
230;338;1104;18328
132;340;1116;18412
139;292;1101;18468
49;269;1039;18643
297;195;983;18525
150;289;990;18571
223;266;959;18552
239;285;983;18493
111;314;996;18579
104;242;984;18670
490;210;916;18384
