Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19966;6;25;3
19951;11;31;7
19918;19;49;14
19875;23;80;22
19821;29;112;38
19733;29;185;53
19596;26;290;88
19394;23;445;138
19047;33;705;215
18516;53;1084;347
17760;48;1642;550
16657;45;2460;838
15162;50;3492;1296
13226;45;4798;1931
10980;50;6176;2794
8645;45;7435;3875
6504;35;8369;5092
4729;26;8819;6426
3350;29;8800;7821
2392;21;8441;9146
1758;23;7842;10377
1335;26;7176;11463
1089;21;6444;12446
885;24;5822;13269
760;29;5191;14020
671;26;4636;14667
607;28;4170;15195
573;29;3674;15724
549;28;3234;16189
535;27;2864;16574
542;28;2514;16916
552;25;2232;17191
550;28;1947;17475
592;24;1714;17670
616;22;1499;17863
665;20;1309;18006
710;18;1148;18124
761;14;1026;18199
794;17;906;18283
836;15;836;18313
872;15;743;18370
923;16;653;18408
960;7;602;18431
1018;7;539;18436
1066;3;490;18441
1118;2;410;18470
1199;4;363;18434
1236;6;327;18431
1288;5;294;18413
1325;6;275;18394
1376;4;255;18365
1419;6;222;18353
1483;6;192;18319
1555;5;165;18275
1609;9;155;18227
1673;9;143;18175
1728;5;132;18135
1784;4;132;18080
1835;3;125;18037
1871;3;122;18004
1927;0;104;17969
1970;1;93;17936
2020;0;91;17889
2069;0;84;17847
2127;1;76;17796
2182;2;69;17747
2231;2;64;17703
2298;1;58;17643
2364;1;54;17581
2403;3;57;17537
2454;2;53;17491
2505;1;57;17437
2543;0;50;17407
2580;0;57;17363
2638;0;45;17317
2699;0;49;17252
2761;0;43;17196
2804;0;42;17154
2862;0;33;17105
2910;0;31;17059
2966;0;30;17004
3027;0;29;16944
3075;0;22;16903
3126;0;25;16849
3177;0;18;16805
3230;0;20;16750
3281;0;17;16702
3332;0;19;16649
3382;0;18;16600
3448;0;18;16534
3495;0;18;16487
3541;0;17;16442
3590;0;17;16393
3624;0;23;16353
3673;0;25;16302
3718;0;23;16259
3759;0;25;16216
3812;0;24;16164
3863;0;19;16118
3915;0;18;16067
3954;0;21;16025
4004;0;15;15981
4050;0;13;15937
4093;0;13;15894
4146;0;13;15841
4199;0;16;15785
4239;0;18;15743
4280;0;20;15700
4313;0;17;15670
4350;0;16;15634
4382;0;15;15603
4419;0;16;15565
4460;0;14;15526
4501;0;15;15484
4562;0;14;15424
4615;0;16;15369
4650;0;17;15333
4702;0;16;15282
4747;0;20;15233
4791;0;23;15186
4829;0;24;15147
4868;0;24;15108
4914;0;25;15061
4954;0;22;15024
5000;0;25;14975
5033;0;28;14939
5075;0;29;14896
5111;0;35;14854
5133;0;37;14830
5162;0;40;14798
5200;0;45;14755
5240;0;46;14714
5277;0;43;14680
5315;0;40;14645
5349;1;42;14608
5386;2;39;14573
5418;2;47;14533
5447;2;49;14502
5481;0;53;14466
5513;0;54;14433
5542;0;62;14396
5563;0;66;14371
5591;0;75;14334
5616;1;76;14307
5640;1;80;14279
5668;0;92;14240
5688;0;95;14217
5726;0;104;14170
5738;1;108;14153
5770;0;113;14117
5781;0;135;14084
5794;2;140;14064
5817;2;149;14032
5834;2;153;14011
5852;0;145;14003
5855;0;165;13980
5848;0;181;13971
5849;0;195;13956
5854;0;200;13946
5848;1;216;13935
5845;0;231;13924
5850;0;240;13910
5851;0;238;13911
5839;2;260;13899
5829;5;274;13892
5822;5;281;13892
5802;3;310;13885
5786;3;316;13895
5778;2;321;13899
5753;3;338;13906
5708;5;353;13934
5657;3;378;13962
5627;3;404;13966
5574;4;425;13997
5548;3;429;14020
5502;5;456;14037
5460;6;461;14073
5412;4;486;14098
5375;5;516;14104
5308;6;564;14122
5244;9;585;14162
5157;11;618;14214
5071;8;660;14261
4993;8;696;14303
4879;12;760;14349
4829;12;758;14401
4727;9;807;14457
4625;11;840;14524
4507;10;898;14585
4410;11;892;14687
4322;8;918;14752
4232;10;911;14847
4124;9;952;14915
4049;12;951;14988
3944;13;963;15080
3876;14;968;15142
3790;12;968;15230
3733;19;938;15310
3676;14;938;15372
3615;10;899;15476
3557;11;887;15545
3491;9;881;15619
3455;11;842;15692
3392;11;844;15753
3354;15;806;15825
3340;8;783;15869
3314;12;764;15910
3297;15;720;15968
3280;15;712;15993
3263;17;693;16027
3222;19;685;16074
3225;18;653;16104
3204;15;672;16109
3179;19;671;16131
3194;18;646;16142
3206;16;623;16155
3201;15;619;16165
3178;10;611;16201
3193;13;592;16202
3200;14;579;16207
3222;7;578;16193
3245;6;536;16213
3264;6;500;16230
3305;7;488;16200
3309;5;478;16208
3333;7;439;16221
3366;8;420;16206
3376;8;428;16188
3399;9;403;16189
3445;7;393;16155
3471;6;369;16154
3518;6;362;16114
3562;5;354;16079
3597;5;361;16037
3632;5;349;16014
3657;5;339;15999
3694;9;328;15969
3720;7;334;15939
3765;7;328;15900
3816;5;330;15849
3860;6;327;15807
3902;5;321;15772
3951;3;310;15736
3992;2;305;15701
4026;4;318;15652
4077;5;309;15609
4115;5;302;15578
4148;5;319;15528
4188;3;320;15489
4216;6;311;15467
4263;6;305;15426
4298;6;299;15397
4332;6;288;15374
4376;6;289;15329
4402;8;291;15299
4437;7;300;15256
4467;7;311;15215
4513;7;306;15174
4543;5;315;15137
4556;5;309;15130
4580;2;311;15107
4614;5;309;15072
4655;5;299;15041
4691;5;306;14998
4732;6;311;14951
4777;4;314;14905
4825;3;318;14854
4857;3;341;14799
4867;3;362;14768
4862;4;366;14768
4867;7;377;14749
4886;8;381;14725
4891;9;393;14707
4884;9;400;14707
4884;8;419;14689
4894;7;424;14675
4899;5;424;14672
4911;9;419;14661
4913;7;429;14651
4912;11;461;14616
4897;11;471;14621
4860;11;508;14621
4854;11;505;14630
4842;13;510;14635
4820;16;537;14627
4818;17;570;14595
4832;15;580;14573
4808;10;592;14590
4820;10;582;14588
4766;12;608;14614
4737;15;616;14632
4704;14;641;14641
4673;12;655;14660
4638;9;694;14659
4584;9;719;14688
4541;11;717;14731
4498;13;744;14745
4481;15;736;14768
4437;18;759;14786
4382;19;784;14815
4339;23;785;14853
4298;16;776;14910
4256;24;798;14922
4242;16;773;14969
4190;20;775;15015
4167;18;773;15042
4118;22;781;15079
4069;16;810;15105
4067;13;799;15121
4019;17;807;15157
3995;15;806;15184
3974;13;819;15194
3925;17;817;15241
3897;17;803;15283
3866;16;794;15324
3857;16;800;15327
3855;15;790;15340
3851;14;768;15367
3834;17;750;15399
3851;15;721;15413
3832;16;715;15437
3804;17;709;15470
3791;17;712;15480
3775;14;716;15495
3774;17;724;15485
3751;13;753;15483
3720;14;742;15524
3709;10;728;15553
3691;10;709;15590
3691;12;703;15594
3694;12;708;15586
3701;16;691;15592
3722;13;675;15590
3756;11;657;15576
3758;13;653;15576
3773;10;651;15566
3800;16;635;15549
3821;19;610;15550
3843;18;602;15537
3878;16;590;15516
3871;12;573;15544
3889;11;569;15531
3887;10;589;15514
3888;11;587;15514
3921;13;566;15500
3929;14;598;15459
3949;15;584;15452
3953;14;595;15438
3958;17;609;15416
3989;18;610;15383
