Susceptible;Exposed;Infected;Recovered
19980;0;20;0
14;10278;9703;5
2;7366;10249;2383
8;5243;10673;4076
23;3717;10468;5792
31;2691;9884;7394
49;1934;9218;8799
43;1412;8334;10211
51;1008;7618;11323
54;759;6811;12376
74;537;6063;13326
66;404;5369;14161
89;314;4793;14804
77;258;4248;15417
87;210;3786;15917
75;179;3386;16360
83;140;3013;16764
67;135;2616;17182
122;116;2335;17427
74;136;2028;17762
118;118;1816;17948
114;127;1665;18094
108;125;1483;18284
53;122;1341;18484
145;94;1211;18550
96;138;1103;18663
103;117;1012;18768
77;111;945;18867
141;108;856;18895
72;120;818;18990
179;107;732;18982
89;154;725;19032
117;134;693;19056
100;153;662;19085
112;134;658;19096
99;136;617;19148
205;142;595;19058
90;205;630;19075
113;171;623;19093
84;164;620;19132
192;152;597;19059
94;178;640;19088
206;158;618;19018
75;218;647;19060
145;176;608;19071
150;185;617;19048
114;178;652;19056
55;158;617;19170
211;139;553;19097
88;202;589;19121
171;167;599;19063
121;179;633;19067
148;155;644;19053
65;185;611;19139
210;158;576;19056
125;220;597;19058
213;200;624;18963
125;218;681;18976
118;194;686;19002
63;203;621;19113
306;151;609;18934
90;263;672;18975
117;202;695;18986
158;190;682;18970
164;191;714;18931
122;213;696;18969
221;197;703;18879
71;216;755;18958
144;164;703;18989
96;185;689;19030
236;173;665;18926
81;234;696;18989
318;201;662;18819
90;298;759;18853
111;229;772;18888
185;194;772;18849
163;226;755;18856
114;248;735;18903
199;220;724;18857
72;261;740;18927
264;201;725;18810
144;247;815;18794
138;228;817;18817
66;215;788;18931
327;173;735;18765
142;319;766;18773
123;276;807;18794
104;244;782;18870
196;207;759;18838
75;229;757;18939
323;181;726;18770
159;293;794;18754
177;251;840;18732
129;243;877;18751
99;218;863;18820
126;183;831;18860
300;199;786;18715
96;300;823;18781
160;236;808;18796
169;221;822;18788
253;221;815;18711
82;266;872;18780
227;201;844;18728
66;243;852;18839
192;197;796;18815
257;239;805;18699
119;288;847;18746
69;249;832;18850
325;193;794;18688
97;298;854;18751
236;232;852;18680
138;264;888;18710
261;233;891;18615
86;286;916;18712
223;213;886;18678
117;266;883;18734
180;230;871;18719
143;242;889;18726
109;216;874;18801
112;192;821;18875
483;186;787;18544
149;375;943;18533
111;314;979;18596
117;248;961;18674
166;211;922;18701
117;220;886;18777
359;213;845;18583
102;348;902;18648
203;258;895;18644
120;277;897;18706
216;236;897;18651
74;255;893;18778
325;189;857;18629
137;291;927;18645
109;243;930;18718
212;211;904;18673
225;248;907;18620
72;263;951;18714
195;207;899;18699
57;240;870;18833
356;190;825;18629
141;302;934;18623
104;245;920;18731
111;211;875;18803
411;193;842;18554
169;364;917;18550
107;314;952;18627
173;240;940;18647
153;236;936;18675
70;235;902;18793
359;199;852;18590
96;317;928;18659
210;240;924;18626
200;274;926;18600
259;275;943;18523
145;318;964;18573
312;289;948;18451
82;386;972;18560
110;276;983;18631
105;234;947;18714
325;209;889;18577
150;312;935;18603
283;267;935;18515
81;337;966;18616
162;238;952;18648
232;237;922;18609
120;274;953;18653
